Parameter,Value,Layer,Key ID,Value Type,Action
CFG-MSGOUT-NMEA_ID_DTM_I2C,0,RAM,0x209100a6,U1,Set
CFG-MSGOUT-NMEA_ID_DTM_SPI,0,RAM,0x209100aa,U1,Set
CFG-MSGOUT-NMEA_ID_DTM_UART1,0,RAM,0x209100a7,U1,Set
CFG-MSGOUT-NMEA_ID_DTM_UART2,0,RAM,0x209100a8,U1,Set
CFG-MSGOUT-NMEA_ID_DTM_USB,0,RAM,0x209100a9,U1,Set
CFG-MSGOUT-NMEA_ID_GBS_I2C,0,RAM,0x209100dd,U1,Set
CFG-MSGOUT-NMEA_ID_GBS_SPI,0,RAM,0x209100e1,U1,Set
CFG-MSGOUT-NMEA_ID_GBS_UART1,0,RAM,0x209100de,U1,Set
CFG-MSGOUT-NMEA_ID_GBS_UART2,0,RAM,0x209100df,U1,Set
CFG-MSGOUT-NMEA_ID_GBS_USB,0,RAM,0x209100e0,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_I2C,0,RAM,0x209100ba,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_I2C,0,Flash,0x209100ba,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_SPI,0,RAM,0x209100be,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_SPI,0,Flash,0x209100be,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_UART1,0,RAM,0x209100bb,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_UART1,0,Flash,0x209100bb,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_UART2,0,RAM,0x209100bc,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_UART2,0,Flash,0x209100bc,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_USB,0,RAM,0x209100bd,U1,Set
CFG-MSGOUT-NMEA_ID_GGA_USB,0,Flash,0x209100bd,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_I2C,0,RAM,0x209100c9,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_I2C,0,Flash,0x209100c9,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_SPI,0,RAM,0x209100cd,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_SPI,0,Flash,0x209100cd,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_UART1,0,RAM,0x209100ca,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_UART1,0,Flash,0x209100ca,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_UART2,0,RAM,0x209100cb,U1,Set
CFG-MSGOUT-NMEA_ID_GLL_UART2,0,Flash,0x209100cb,U1,Set
