iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
422479000,230,193,126,160,108,71,81
422489000,196,166,103,138,93,61,69
422499000,211,179,113,149,98,62,76
422509000,211,178,113,149,98,62,76
422519000,248,205,138,179,101,66,76
422529000,272,223,156,195,110,77,78
422539000,277,228,158,196,116,72,91
422549000,206,174,110,146,94,63,70
422559000,175,150,91,124,84,61,58
422569000,175,150,91,124,85,61,58
422579000,149,129,74,104,77,57,52
422589000,168,145,87,121,79,54,58
422599000,189,162,99,133,91,55,73
422609000,189,162,99,133,91,55,73
422619000,189,161,99,133,91,55,73
422629000,168,145,87,121,80,54,58
422639000,176,151,92,124,85,62,58
422649000,176,151,92,124,85,62,58
422659000,202,171,107,140,98,65,74
422669000,159,138,79,109,85,51,67
422679000,150,130,74,105,77,51,57
422689000,148,128,73,105,75,48,57
422699000,148,128,73,105,75,48,57
422709000,156,136,77,108,82,48,67
422719000,158,138,78,109,85,51,67
422729000,156,136,77,108,82,48,67
422739000,158,137,78,108,85,51,67
422749000,158,137,78,108,85,51,67
422759000,202,171,108,140,98,65,73
422769000,202,171,108,140,98,65,73
422779000,188,160,98,132,91,55,72
422789000,155,135,77,107,82,48,67
422799000,187,160,98,131,91,55,72
422809000,203,172,108,140,98,66,73
422819000,203,172,108,140,98,66,73
422829000,203,172,108,141,98,66,73
422839000,203,172,108,141,99,66,73
422849000,203,172,108,141,99,66,73
422859000,179,153,93,126,86,63,59
422869000,179,153,94,126,86,63,59
422879000,179,153,94,126,86,63,59
422889000,203,171,110,139,100,80,59
422899000,177,151,92,125,85,61,59
422909000,177,151,92,124,85,61,59
422919000,177,151,92,124,85,61,59
422929000,177,151,92,124,85,61,59
422939000,177,151,92,124,85,61,59
422949000,177,151,92,124,85,61,59
422959000,177,151,92,124,85,61,59
422969000,177,150,92,124,85,61,59
422979000,176,150,92,124,85,61,59
422989000,176,150,92,124,85,61,59
422999000,206,173,112,141,101,82,60
423009000,206,173,112,141,101,82,60
423019000,240,199,133,163,115,89,73
423029000,194,164,102,134,95,62,72
423039000,194,164,102,134,95,62,72
423049000,240,200,134,163,115,89,73
423059000,240,200,134,163,115,90,73
423069000,208,175,113,142,102,83,60
423079000,241,200,134,163,116,90,73
423089000,241,200,134,163,116,90,73
423099000,241,200,134,163,116,90,73
423109000,241,200,134,163,116,90,73
423119000,209,176,114,143,103,83,60
423129000,210,176,114,143,103,84,60
423139000,210,176,114,143,103,84,60
423149000,210,176,114,143,103,84,60
423159000,210,176,115,143,103,84,60
423169000,211,177,115,143,103,84,60
423179000,211,177,115,143,103,84,60
423189000,211,177,115,144,104,84,60
423199000,183,156,97,128,89,66,59
423209000,184,156,97,128,89,66,59
423219000,184,156,97,128,89,66,59
423229000,184,156,97,129,89,66,59
423239000,184,156,97,129,89,66,59
423249000,184,156,97,129,89,66,59
423259000,184,157,97,129,89,67,59
423269000,184,157,97,129,89,67,59
423279000,185,157,97,129,89,67,59
423289000,185,157,98,129,89,67,59
423299000,185,157,98,129,89,67,59
423309000,185,157,98,129,89,67,59
423319000,185,157,98,129,90,67,59
423329000,185,157,98,129,90,67,59
423339000,186,157,98,129,90,67,59
423349000,206,174,111,142,101,70,72
423359000,206,174,111,142,101,70,72
423369000,186,158,98,130,90,67,59
423379000,186,158,98,130,90,68,59
423389000,186,158,99,130,90,68,60
423399000,186,158,99,130,90,68,60
423409000,187,158,99,130,90,68,60
423419000,187,158,99,130,90,68,60
423429000,187,159,99,130,90,68,60
423439000,187,159,99,130,91,68,60
423449000,207,174,111,142,101,71,72
423459000,187,159,99,130,91,68,60
423469000,187,159,99,131,91,68,60
423479000,188,159,99,131,91,68,60
423489000,188,159,100,131,91,69,60
423499000,188,159,100,131,91,69,60
423509000,188,159,100,131,91,69,60
423519000,188,160,100,131,91,69,60
423529000,188,160,100,131,91,69,60
423539000,166,143,85,117,81,55,60
423549000,166,142,85,117,81,55,60
423559000,189,160,100,131,91,69,60
423569000,189,160,100,131,92,69,60
423579000,189,160,101,131,92,69,60
423589000,189,160,101,132,92,70,60
423599000,190,161,101,132,92,70,60
423609000,190,161,101,132,92,70,60
423619000,208,175,112,143,102,73,71
423629000,208,175,112,143,102,73,71
423639000,190,161,101,132,92,70,60
423649000,190,161,101,132,92,70,60
423659000,208,176,112,143,102,73,71
423669000,191,161,102,132,92,70,60
423679000,191,161,102,132,92,70,60
423689000,191,162,102,132,93,70,60
423699000,193,164,102,133,97,72,65
423709000,191,162,102,133,93,71,60
423719000,191,162,102,133,93,71,60
423729000,192,162,102,133,93,71,60
423739000,197,166,105,134,99,73,67
423749000,152,131,76,106,77,54,55
423759000,152,131,76,106,77,54,55
423769000,197,166,105,134,99,73,67
423779000,178,152,93,123,90,71,55
423789000,178,152,93,123,90,71,55
423799000,179,152,93,123,90,71,55
423809000,197,167,105,134,99,74,66
423819000,179,152,94,123,90,71,55
423829000,179,153,94,123,90,71,55
423839000,197,167,105,134,99,74,66
423849000,179,153,94,123,90,71,55
423859000,151,131,76,106,77,54,55
423869000,180,153,94,123,90,72,55
423879000,197,167,105,134,99,74,66
423889000,198,167,105,134,99,74,66
423899000,180,153,94,124,91,72,55
423909000,180,154,95,124,91,72,55
423919000,180,154,95,124,91,72,55
423929000,198,167,106,134,100,75,66
423939000,181,154,95,124,91,72,55
423949000,181,154,95,124,91,73,55
423959000,181,154,95,124,91,73,55
423969000,181,154,95,124,91,73,55
423979000,181,154,95,124,91,73,55
423989000,150,130,75,105,77,54,55
423999000,150,130,75,105,77,54,55
424009000,182,155,96,125,92,73,55
424019000,182,155,96,125,92,73,55
424029000,182,155,96,125,92,73,55
424039000,150,130,75,105,77,54,55
424049000,150,130,75,105,77,54,55
424059000,199,168,106,135,100,76,65
424069000,183,155,96,125,92,74,55
424079000,183,156,96,125,92,74,55
424089000,183,156,96,125,92,74,55
424099000,183,156,96,125,92,74,55
424109000,183,156,97,126,92,74,55
424119000,183,156,97,126,92,74,55
424129000,184,156,97,126,92,74,55
424139000,184,156,97,126,93,75,55
424149000,184,156,97,126,93,75,55
424159000,184,156,97,126,93,75,55
424169000,184,157,97,126,93,75,55
424179000,184,157,97,126,93,75,55
424189000,149,129,75,104,77,54,55
424199000,199,168,107,135,100,77,64
424209000,199,168,107,135,100,77,64
424219000,199,168,107,135,101,77,64
424229000,185,157,98,126,93,75,55
424239000,199,168,107,135,101,78,64
424249000,185,157,98,127,93,76,55
424259000,199,168,107,135,101,78,64
424269000,200,168,107,135,101,78,64
424279000,200,169,107,135,101,78,64
424289000,148,129,74,103,77,54,55
424299000,156,135,78,106,83,54,63
424309000,156,135,78,106,83,54,62
424319000,200,169,107,135,101,78,64
424329000,200,169,107,135,101,78,64
424339000,200,169,107,135,101,78,64
424349000,187,158,99,127,94,77,55
424359000,187,158,99,127,94,77,55
424369000,187,159,99,127,94,77,55
424379000,187,159,99,128,94,77,55
424389000,187,159,99,128,94,77,55
424399000,187,159,99,128,95,77,55
424409000,147,128,74,102,77,54,54
424419000,147,128,74,102,77,54,54
424429000,147,128,73,102,77,54,54
424439000,188,159,99,128,95,78,55
424449000,188,159,99,128,95,78,55
424459000,188,159,100,128,95,78,55
424469000,188,159,100,128,95,78,55
424479000,188,160,100,128,95,78,55
424489000,188,160,100,128,95,78,55
424499000,188,160,100,128,95,78,55
424509000,189,160,100,128,95,78,55
424519000,189,160,100,128,95,78,55
424529000,189,160,100,128,95,78,55
424539000,200,169,107,135,101,80,63
424549000,200,169,108,135,102,80,63
424559000,200,169,108,135,102,80,62
424569000,200,169,108,135,102,80,62
424579000,200,169,108,135,102,80,62
424589000,200,169,108,135,102,80,62
424599000,200,169,108,135,102,80,62
424609000,200,169,108,135,102,80,62
424619000,200,169,108,135,102,80,62
424629000,200,169,108,135,102,81,62
424639000,201,171,106,140,98,82,54
424649000,190,161,101,129,96,79,54
424659000,190,161,101,129,96,80,54
424669000,190,161,101,129,96,80,54
424679000,145,126,72,100,77,54,54
424689000,201,169,108,135,102,81,62
424699000,201,169,108,135,102,81,62
424709000,151,131,75,102,82,54,61
424719000,151,131,75,102,82,54,61
424729000,150,130,75,102,82,54,61
424739000,201,169,108,135,102,81,62
424749000,201,169,108,135,102,81,62
424759000,201,169,108,135,102,81,62
424769000,201,169,108,135,102,81,62
424779000,201,169,108,135,102,81,62
424789000,201,169,108,135,102,82,62
424799000,191,162,102,130,97,81,54
424809000,201,169,108,135,102,82,61
424819000,199,169,106,132,105,87,59
424829000,192,162,102,130,97,81,54
424839000,202,171,107,140,99,83,54
424849000,192,162,102,130,98,81,54
424859000,192,162,102,130,98,81,54
424869000,192,162,102,130,98,81,54
424879000,192,162,102,130,98,81,54
424889000,144,125,71,98,77,54,54
424899000,192,163,102,130,98,81,54
424909000,192,163,102,130,98,81,54
424919000,192,163,102,130,98,82,54
424929000,210,177,112,144,104,84,61
424939000,209,177,112,144,104,84,61
424949000,192,163,102,130,98,82,54
424959000,192,163,102,130,98,82,54
424969000,192,163,102,130,98,82,54
424979000,192,163,103,130,98,82,54
424989000,193,163,103,130,98,82,54
424999000,143,124,71,97,76,54,54
425009000,193,163,103,130,98,82,54
425019000,142,124,70,97,76,54,54
425029000,193,163,103,130,98,82,54
425039000,193,163,103,130,99,82,54
425049000,193,163,103,130,99,82,54
425059000,202,172,107,139,100,84,54
425069000,202,172,107,139,100,84,54
425079000,152,132,76,103,82,62,53
425089000,193,163,103,130,99,83,54
425099000,157,137,78,109,82,63,53
425109000,193,163,103,130,99,83,54
425119000,193,163,103,130,99,83,54
425129000,202,171,107,139,100,84,54
425139000,193,163,103,130,99,83,54
425149000,131,115,62,90,72,50,52
425159000,152,132,76,103,82,63,53
425169000,152,132,76,103,82,63,53
425179000,152,132,76,103,82,63,53
425189000,152,132,76,103,82,63,53
425199000,193,163,103,130,99,83,54
425209000,152,132,76,103,82,63,53
425219000,159,137,80,106,87,63,59
425229000,152,132,76,103,82,63,53
425239000,152,132,76,103,82,63,53
425249000,152,132,76,103,82,63,53
425259000,152,132,76,103,82,63,53
425269000,153,132,76,103,82,63,53
425279000,153,132,76,103,82,63,53
425289000,153,132,76,103,83,63,53
425299000,201,171,107,138,101,85,54
425309000,201,171,107,138,101,85,54
425319000,193,164,103,130,100,84,54
425329000,193,163,103,130,100,84,54
425339000,193,163,103,130,100,84,54
425349000,201,171,106,138,101,85,54
425359000,193,163,103,130,100,84,54
