iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
422479000,13,422479,-301103,1377,18,True,True,True
422489000,13,422489,-296786,1377,18,True,True,True
422499000,13,422499,-292469,1377,18,True,True,True
422509000,13,422509,-288153,1377,18,True,True,True
422519000,13,422519,-283837,1377,18,True,True,True
422529000,13,422529,-279521,1377,18,True,True,True
422539000,13,422539,-275205,1377,18,True,True,True
422549000,14,422549,-270888,1377,18,True,True,True
422559000,13,422559,-266569,1377,18,True,True,True
422569000,12,422569,-262253,1377,18,True,True,True
422579000,12,422579,-257938,1377,18,True,True,True
422589000,11,422589,-253623,1377,18,True,True,True
422599000,11,422599,-249309,1377,18,True,True,True
422609000,11,422609,-244995,1377,18,True,True,True
422619000,11,422619,-240681,1377,18,True,True,True
422629000,11,422629,-236368,1377,18,True,True,True
422639000,11,422639,-232056,1377,18,True,True,True
422649000,11,422649,-227743,1377,18,True,True,True
422659000,11,422659,-223431,1377,18,True,True,True
422669000,11,422669,-219120,1377,18,True,True,True
422679000,11,422679,-214810,1377,18,True,True,True
422689000,11,422689,-210501,1377,18,True,True,True
422699000,11,422699,-206192,1377,18,True,True,True
422709000,11,422709,-201883,1377,18,True,True,True
422719000,11,422719,-197575,1377,18,True,True,True
422729000,11,422729,-193268,1377,18,True,True,True
422739000,11,422739,-188960,1377,18,True,True,True
422749000,11,422749,-184651,1377,18,True,True,True
422759000,11,422759,-180342,1377,18,True,True,True
422769000,11,422769,-176033,1377,18,True,True,True
422779000,11,422779,-171725,1377,18,True,True,True
422789000,11,422789,-167418,1377,18,True,True,True
422799000,11,422799,-163112,1377,18,True,True,True
422809000,11,422809,-158804,1377,18,True,True,True
422819000,12,422819,-154496,1377,18,True,True,True
422829000,12,422829,-150188,1377,18,True,True,True
422839000,12,422839,-145881,1377,18,True,True,True
422849000,12,422849,-141574,1377,18,True,True,True
422859000,12,422859,-137268,1377,18,True,True,True
422869000,12,422869,-132963,1377,18,True,True,True
422879000,12,422879,-128658,1377,18,True,True,True
422889000,12,422889,-124353,1377,18,True,True,True
422899000,12,422899,-120050,1377,18,True,True,True
422909000,12,422909,-115747,1377,18,True,True,True
422919000,12,422919,-111445,1377,18,True,True,True
422929000,12,422929,-107141,1377,18,True,True,True
422939000,12,422939,-102839,1377,18,True,True,True
422949000,12,422949,-98537,1377,18,True,True,True
422959000,12,422959,-94235,1377,18,True,True,True
422969000,12,422969,-89931,1377,18,True,True,True
422979000,12,422979,-85629,1377,18,True,True,True
422989000,12,422989,-81328,1377,18,True,True,True
