iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
422479000,422479,-301103,1377,18,True,True,True,13
422489000,422489,-296786,1377,18,True,True,True,13
422499000,422499,-292469,1377,18,True,True,True,13
422509000,422509,-288153,1377,18,True,True,True,13
422519000,422519,-283837,1377,18,True,True,True,13
422529000,422529,-279521,1377,18,True,True,True,13
422539000,422539,-275205,1377,18,True,True,True,13
422549000,422549,-270888,1377,18,True,True,True,14
422559000,422559,-266569,1377,18,True,True,True,13
422569000,422569,-262253,1377,18,True,True,True,12
422579000,422579,-257938,1377,18,True,True,True,12
422589000,422589,-253623,1377,18,True,True,True,11
422599000,422599,-249309,1377,18,True,True,True,11
422609000,422609,-244995,1377,18,True,True,True,11
422619000,422619,-240681,1377,18,True,True,True,11
422629000,422629,-236368,1377,18,True,True,True,11
422639000,422639,-232056,1377,18,True,True,True,11
422649000,422649,-227743,1377,18,True,True,True,11
422659000,422659,-223431,1377,18,True,True,True,11
422669000,422669,-219120,1377,18,True,True,True,11
422679000,422679,-214810,1377,18,True,True,True,11
422689000,422689,-210501,1377,18,True,True,True,11
422699000,422699,-206192,1377,18,True,True,True,11
422709000,422709,-201883,1377,18,True,True,True,11
422719000,422719,-197575,1377,18,True,True,True,11
422729000,422729,-193268,1377,18,True,True,True,11
422739000,422739,-188960,1377,18,True,True,True,11
422749000,422749,-184651,1377,18,True,True,True,11
422759000,422759,-180342,1377,18,True,True,True,11
422769000,422769,-176033,1377,18,True,True,True,11
422779000,422779,-171725,1377,18,True,True,True,11
422789000,422789,-167418,1377,18,True,True,True,11
422799000,422799,-163112,1377,18,True,True,True,11
422809000,422809,-158804,1377,18,True,True,True,11
422819000,422819,-154496,1377,18,True,True,True,12
422829000,422829,-150188,1377,18,True,True,True,12
422839000,422839,-145881,1377,18,True,True,True,12
422849000,422849,-141574,1377,18,True,True,True,12
422859000,422859,-137268,1377,18,True,True,True,12
422869000,422869,-132963,1377,18,True,True,True,12
422879000,422879,-128658,1377,18,True,True,True,12
422889000,422889,-124353,1377,18,True,True,True,12
422899000,422899,-120050,1377,18,True,True,True,12
422909000,422909,-115747,1377,18,True,True,True,12
422919000,422919,-111445,1377,18,True,True,True,12
422929000,422929,-107141,1377,18,True,True,True,12
422939000,422939,-102839,1377,18,True,True,True,12
422949000,422949,-98537,1377,18,True,True,True,12
422959000,422959,-94235,1377,18,True,True,True,12
422969000,422969,-89931,1377,18,True,True,True,12
422979000,422979,-85629,1377,18,True,True,True,12
422989000,422989,-81328,1377,18,True,True,True,12
422999000,422999,-77027,1377,18,True,True,True,12
423009000,423009,-72726,1377,18,True,True,True,12
423019000,423019,-68424,1377,18,True,True,True,12
423029000,423029,-64121,1377,18,True,True,True,13
423039000,423039,-59819,1377,18,True,True,True,13
423049000,423049,-55518,1377,18,True,True,True,13
423059000,423059,-51217,1377,18,True,True,True,13
423069000,423069,-46916,1377,18,True,True,True,13
423079000,423079,-42615,1377,18,True,True,True,13
423089000,423089,-38314,1377,18,True,True,True,13
423099000,423099,-34013,1377,18,True,True,True,13
423109000,423109,-29713,1377,18,True,True,True,13
423119000,423119,-25413,1377,18,True,True,True,13
423129000,423129,-21113,1377,18,True,True,True,13
423139000,423139,-16814,1377,18,True,True,True,13
423149000,423149,-12513,1377,18,True,True,True,13
423159000,423159,-8213,1377,18,True,True,True,13
423169000,423169,-3913,1377,18,True,True,True,13
423179000,423179,384,1377,18,True,True,True,13
423189000,423189,4682,1377,18,True,True,True,13
423199000,423199,8981,1377,18,True,True,True,13
423209000,423209,13279,1377,18,True,True,True,13
423219000,423219,17577,1377,18,True,True,True,13
423229000,423229,21877,1377,18,True,True,True,13
423239000,423239,26176,1377,18,True,True,True,13
423249000,423249,30474,1377,18,True,True,True,13
423259000,423259,34772,1377,18,True,True,True,13
423269000,423269,39070,1377,18,True,True,True,13
423279000,423279,43366,1377,18,True,True,True,12
423289000,423289,47662,1377,18,True,True,True,12
423299000,423299,51958,1377,18,True,True,True,12
423309000,423309,56254,1377,18,True,True,True,12
423319000,423319,60549,1377,18,True,True,True,12
423329000,423329,64843,1377,18,True,True,True,12
423339000,423339,69138,1377,18,True,True,True,12
423349000,423349,73433,1377,18,True,True,True,12
423359000,423359,77727,1377,18,True,True,True,12
423369000,423369,82021,1377,18,True,True,True,12
423379000,423379,86315,1377,18,True,True,True,12
423389000,423389,90608,1377,18,True,True,True,13
423399000,423399,94901,1377,18,True,True,True,13
423409000,423409,99194,1377,18,True,True,True,13
423419000,423419,103485,1377,18,True,True,True,13
423429000,423429,107777,1377,18,True,True,True,13
423439000,423439,112067,1377,18,True,True,True,13
423449000,423449,116357,1377,18,True,True,True,13
423459000,423459,120646,1377,18,True,True,True,13
423469000,423469,124936,1377,18,True,True,True,13
423479000,423479,129226,1377,18,True,True,True,13
423489000,423489,133515,1377,18,True,True,True,13
423499000,423499,137804,1377,18,True,True,True,13
423509000,423509,142093,1377,18,True,True,True,13
423519000,423519,146381,1377,18,True,True,True,12
423529000,423529,150670,1377,18,True,True,True,12
423539000,423539,154958,1377,18,True,True,True,12
423549000,423549,159246,1377,18,True,True,True,12
423559000,423559,163535,1377,18,True,True,True,11
423569000,423569,167822,1377,18,True,True,True,11
423579000,423579,172110,1377,18,True,True,True,11
423589000,423589,176399,1377,18,True,True,True,11
423599000,423599,180687,1377,18,True,True,True,11
423609000,423609,184975,1377,18,True,True,True,11
423619000,423619,189264,1377,18,True,True,True,11
423629000,423629,193553,1377,18,True,True,True,10
423639000,423639,197842,1377,18,True,True,True,10
423649000,423649,202129,1377,18,True,True,True,10
423659000,423659,206416,1377,18,True,True,True,10
423669000,423669,210703,1377,18,True,True,True,10
423679000,423679,214990,1377,18,True,True,True,11
423689000,423689,219276,1377,18,True,True,True,11
423699000,423699,223562,1377,18,True,True,True,11
423709000,423709,227847,1377,18,True,True,True,11
423719000,423719,232132,1377,18,True,True,True,11
423729000,423729,236416,1377,18,True,True,True,11
423739000,423739,240699,1377,18,True,True,True,11
423749000,423749,244983,1377,18,True,True,True,11
423759000,423759,249266,1377,18,True,True,True,11
423769000,423769,253550,1377,18,True,True,True,11
423779000,423779,257831,1377,18,True,True,True,11
423789000,423789,262113,1377,18,True,True,True,11
423799000,423799,266395,1377,18,True,True,True,11
423809000,423809,270675,1377,18,True,True,True,11
423819000,423819,274957,1377,18,True,True,True,11
423829000,423829,279238,1377,18,True,True,True,11
423839000,423839,283520,1377,18,True,True,True,11
423849000,423849,287801,1377,18,True,True,True,11
423859000,423859,292084,1377,18,True,True,True,10
423869000,423869,296366,1377,18,True,True,True,10
423879000,423879,300648,1377,18,True,True,True,10
423889000,423889,304931,1377,18,True,True,True,10
423899000,423899,309214,1377,18,True,True,True,10
423909000,423909,313496,1377,18,True,True,True,10
423919000,423919,317778,1377,18,True,True,True,10
423929000,423929,322060,1377,18,True,True,True,9
423939000,423939,326343,1377,18,True,True,True,9
423949000,423949,330626,1377,18,True,True,True,9
423959000,423959,334909,1377,18,True,True,True,9
423969000,423969,339191,1377,18,True,True,True,9
423979000,423979,343473,1377,18,True,True,True,9
423989000,423989,347755,1377,18,True,True,True,9
423999000,423999,352036,1377,18,True,True,True,9
424009000,424009,356318,1377,18,True,True,True,9
424019000,424019,360600,1377,18,True,True,True,9
424029000,424029,364883,1377,18,True,True,True,9
424039000,424039,369165,1377,18,True,True,True,9
424049000,424049,373448,1377,18,True,True,True,9
424059000,424059,377731,1377,18,True,True,True,9
424069000,424069,382013,1377,18,True,True,True,10
424079000,424079,386297,1377,18,True,True,True,10
424089000,424089,390582,1377,18,True,True,True,10
424099000,424099,394866,1377,18,True,True,True,10
424109000,424109,399147,1377,18,True,True,True,10
424119000,424119,403428,1377,18,True,True,True,10
424129000,424129,407709,1377,18,True,True,True,10
424139000,424139,411990,1377,18,True,True,True,10
424149000,424149,416271,1377,18,True,True,True,10
424159000,424159,420552,1377,18,True,True,True,11
424169000,424169,424835,1377,18,True,True,True,11
424179000,424179,429118,1377,18,True,True,True,11
424189000,424189,433401,1377,18,True,True,True,11
424199000,424199,437683,1377,18,True,True,True,11
424209000,424209,441964,1377,18,True,True,True,11
424219000,424219,446246,1377,18,True,True,True,11
424229000,424229,450527,1377,18,True,True,True,11
424239000,424239,454807,1377,18,True,True,True,11
424249000,424249,459087,1377,18,True,True,True,11
424259000,424259,463368,1377,18,True,True,True,11
424269000,424269,467648,1377,18,True,True,True,11
424279000,424279,471929,1377,18,True,True,True,11
424289000,424289,476210,1377,18,True,True,True,11
424299000,424299,480492,1377,18,True,True,True,11
424309000,424309,484774,1377,18,True,True,True,11
424319000,424319,489057,1377,18,True,True,True,11
424329000,424329,493338,1377,18,True,True,True,11
424339000,424339,497619,1377,18,True,True,True,11
424349000,424349,-498100,1377,18,True,True,True,11
424359000,424359,-493818,1377,18,True,True,True,11
424369000,424369,-489536,1377,18,True,True,True,11
424379000,424379,-485254,1377,18,True,True,True,11
424389000,424389,-480973,1377,18,True,True,True,11
424399000,424399,-476691,1377,18,True,True,True,11
424409000,424409,-472410,1377,18,True,True,True,11
424419000,424419,-468129,1377,18,True,True,True,11
424429000,424429,-463849,1377,18,True,True,True,10
424439000,424439,-459569,1377,18,True,True,True,10
424449000,424449,-455289,1377,18,True,True,True,10
424459000,424459,-451010,1377,18,True,True,True,9
424469000,424469,-446730,1377,18,True,True,True,9
424479000,424479,-442451,1377,18,True,True,True,9
424489000,424489,-438174,1377,18,True,True,True,9
424499000,424499,-433896,1377,18,True,True,True,9
424509000,424509,-429618,1377,18,True,True,True,9
424519000,424519,-425341,1377,18,True,True,True,9
424529000,424529,-421063,1377,18,True,True,True,9
424539000,424539,-416785,1377,18,True,True,True,9
424549000,424549,-412508,1377,18,True,True,True,9
424559000,424559,-408231,1377,18,True,True,True,9
424569000,424569,-403955,1377,18,True,True,True,9
424579000,424579,-399680,1377,18,True,True,True,9
424589000,424589,-395406,1377,18,True,True,True,9
424599000,424599,-391132,1377,18,True,True,True,9
424609000,424609,-386858,1377,18,True,True,True,9
424619000,424619,-382584,1377,18,True,True,True,9
424629000,424629,-378311,1377,18,True,True,True,9
424639000,424639,-374037,1377,18,True,True,True,10
424649000,424649,-369764,1377,18,True,True,True,10
424659000,424659,-365491,1377,18,True,True,True,10
424669000,424669,-361218,1377,18,True,True,True,10
424679000,424679,-356945,1377,18,True,True,True,10
424689000,424689,-352670,1377,18,True,True,True,10
424699000,424699,-348397,1377,18,True,True,True,11
424709000,424709,-344123,1377,18,True,True,True,11
424719000,424719,-339848,1377,18,True,True,True,11
424729000,424729,-335574,1377,18,True,True,True,11
424739000,424739,-331300,1377,18,True,True,True,11
424749000,424749,-327028,1377,18,True,True,True,11
424759000,424759,-322755,1377,18,True,True,True,11
424769000,424769,-318482,1377,18,True,True,True,11
424779000,424779,-314210,1377,18,True,True,True,11
424789000,424789,-309939,1377,18,True,True,True,11
424799000,424799,-305667,1377,18,True,True,True,11
424809000,424809,-301396,1377,18,True,True,True,11
424819000,424819,-297124,1377,18,True,True,True,11
424829000,424829,-292854,1377,18,True,True,True,11
424839000,424839,-288585,1377,18,True,True,True,11
424849000,424849,-284317,1377,18,True,True,True,11
424859000,424859,-280049,1377,18,True,True,True,11
424869000,424869,-275780,1377,18,True,True,True,11
424879000,424879,-271511,1377,18,True,True,True,11
424889000,424889,-267243,1377,18,True,True,True,11
424899000,424899,-262975,1377,18,True,True,True,11
424909000,424909,-258707,1377,18,True,True,True,11
424919000,424919,-254440,1377,18,True,True,True,11
424929000,424929,-250174,1377,18,True,True,True,11
424939000,424939,-245909,1377,18,True,True,True,11
424949000,424949,-241644,1377,18,True,True,True,11
424959000,424959,-237379,1377,18,True,True,True,11
424969000,424969,-233115,1377,18,True,True,True,11
