iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
422479000,-301102,2401,18,True,True,True,12
422489000,-296786,2401,18,True,True,True,12
422499000,-292469,2401,18,True,True,True,12
422509000,-288153,2401,18,True,True,True,12
422519000,-283837,2401,18,True,True,True,12
422529000,-279521,2401,18,True,True,True,12
422539000,-275205,2401,18,True,True,True,12
422549000,-270888,2401,18,True,True,True,12
422559000,-266569,2401,18,True,True,True,12
422569000,-262253,2401,18,True,True,True,11
422579000,-257938,2401,18,True,True,True,10
422589000,-253623,2401,18,True,True,True,10
422599000,-249309,2401,18,True,True,True,10
422609000,-244995,2401,18,True,True,True,10
422619000,-240681,2401,18,True,True,True,10
422629000,-236368,2401,18,True,True,True,10
422639000,-232055,2401,18,True,True,True,10
422649000,-227743,2401,18,True,True,True,10
422659000,-223431,2401,18,True,True,True,10
422669000,-219120,2401,18,True,True,True,10
422679000,-214810,2401,18,True,True,True,10
422689000,-210501,2401,18,True,True,True,10
422699000,-206192,2401,18,True,True,True,10
422709000,-201883,2401,18,True,True,True,10
422719000,-197575,2401,18,True,True,True,10
422729000,-193268,2401,18,True,True,True,10
422739000,-188960,2401,18,True,True,True,10
422749000,-184651,2401,18,True,True,True,10
422759000,-180342,2401,18,True,True,True,10
422769000,-176033,2401,18,True,True,True,10
422779000,-171725,2401,18,True,True,True,10
422789000,-167418,2401,18,True,True,True,10
422799000,-163112,2401,18,True,True,True,10
422809000,-158804,2401,18,True,True,True,10
422819000,-154496,2401,18,True,True,True,11
422829000,-150189,2401,18,True,True,True,11
422839000,-145881,2401,18,True,True,True,11
422849000,-141574,2401,18,True,True,True,11
422859000,-137269,2401,18,True,True,True,11
422869000,-132963,2401,18,True,True,True,11
422879000,-128658,2401,18,True,True,True,11
422889000,-124354,2401,18,True,True,True,11
422899000,-120050,2401,18,True,True,True,11
422909000,-115747,2401,18,True,True,True,11
422919000,-111445,2401,18,True,True,True,11
422929000,-107141,2401,18,True,True,True,11
422939000,-102839,2401,18,True,True,True,11
422949000,-98537,2401,18,True,True,True,11
422959000,-94235,2401,18,True,True,True,11
422969000,-89932,2401,18,True,True,True,11
422979000,-85629,2401,18,True,True,True,11
422989000,-81328,2401,18,True,True,True,11
422999000,-77028,2401,18,True,True,True,11
423009000,-72727,2401,18,True,True,True,11
423019000,-68425,2401,18,True,True,True,12
423029000,-64122,2401,18,True,True,True,12
423039000,-59819,2401,18,True,True,True,12
423049000,-55518,2401,18,True,True,True,12
423059000,-51217,2401,18,True,True,True,12
423069000,-46916,2401,18,True,True,True,12
423079000,-42616,2401,18,True,True,True,12
423089000,-38315,2401,18,True,True,True,12
423099000,-34013,2401,18,True,True,True,12
423109000,-29713,2401,18,True,True,True,12
423119000,-25413,2401,18,True,True,True,12
423129000,-21114,2401,18,True,True,True,12
423139000,-16814,2401,18,True,True,True,12
423149000,-12513,2401,18,True,True,True,12
423159000,-8213,2401,18,True,True,True,12
423169000,-3914,2401,18,True,True,True,12
423179000,383,2401,18,True,True,True,12
423189000,4682,2401,18,True,True,True,12
423199000,8980,2401,18,True,True,True,12
423209000,13279,2401,18,True,True,True,12
423219000,17577,2401,18,True,True,True,12
423229000,21877,2401,18,True,True,True,12
423239000,26176,2401,18,True,True,True,12
423249000,30474,2401,18,True,True,True,12
423259000,34772,2401,18,True,True,True,12
423269000,39070,2401,18,True,True,True,12
423279000,43366,2401,18,True,True,True,12
423289000,47662,2401,18,True,True,True,11
423299000,51958,2401,18,True,True,True,11
423309000,56253,2401,18,True,True,True,11
423319000,60548,2401,18,True,True,True,11
423329000,64843,2401,18,True,True,True,11
423339000,69138,2401,18,True,True,True,11
423349000,73433,2401,18,True,True,True,11
423359000,77727,2401,18,True,True,True,11
423369000,82021,2401,18,True,True,True,11
423379000,86314,2401,18,True,True,True,12
423389000,90608,2401,18,True,True,True,12
423399000,94901,2401,18,True,True,True,12
423409000,99193,2401,18,True,True,True,12
423419000,103485,2401,18,True,True,True,12
423429000,107776,2401,18,True,True,True,12
423439000,112066,2401,18,True,True,True,12
423449000,116356,2401,18,True,True,True,12
423459000,120646,2401,18,True,True,True,12
423469000,124936,2401,18,True,True,True,12
423479000,129226,2401,18,True,True,True,12
423489000,133515,2401,18,True,True,True,12
423499000,137804,2401,18,True,True,True,12
423509000,142092,2401,18,True,True,True,12
423519000,146381,2401,18,True,True,True,11
423529000,150670,2401,18,True,True,True,11
423539000,154958,2401,18,True,True,True,11
423549000,159246,2401,18,True,True,True,11
423559000,163534,2401,18,True,True,True,11
423569000,167822,2401,18,True,True,True,10
423579000,172110,2401,18,True,True,True,10
423589000,176398,2401,18,True,True,True,10
423599000,180686,2401,18,True,True,True,10
423609000,184975,2401,18,True,True,True,10
423619000,189264,2401,18,True,True,True,10
423629000,193553,2401,18,True,True,True,9
423639000,197841,2401,18,True,True,True,9
423649000,202129,2401,18,True,True,True,9
423659000,206415,2401,18,True,True,True,9
423669000,210702,2401,18,True,True,True,10
423679000,214989,2401,18,True,True,True,10
423689000,219275,2401,18,True,True,True,10
423699000,223561,2401,18,True,True,True,10
423709000,227846,2401,18,True,True,True,10
423719000,232131,2401,18,True,True,True,10
423729000,236416,2401,18,True,True,True,10
423739000,240699,2401,18,True,True,True,10
423749000,244983,2401,18,True,True,True,10
