iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
422479000,3,True,False,True,True,False,True,0,0,0,0,18571,38269544
422489000,3,True,False,True,True,False,True,0,0,0,0,18571,38279544
422499000,3,True,False,True,True,False,True,0,0,0,0,18571,38289544
422509000,3,True,False,True,True,False,True,0,0,0,0,18571,38299544
422519000,3,True,False,True,True,False,True,0,0,0,0,18571,38309544
422529000,3,True,False,True,True,False,True,0,0,0,0,18571,38319544
422539000,3,True,False,True,True,False,True,0,0,0,0,18571,38329544
422549000,3,True,False,True,True,False,True,0,0,0,0,18571,38339544
422559000,3,True,False,True,True,False,True,0,0,0,0,18571,38349544
422569000,3,True,False,True,True,False,True,0,0,0,0,18571,38359544
422579000,3,True,False,True,True,False,True,0,0,0,0,18571,38369544
422589000,3,True,False,True,True,False,True,0,0,0,0,18571,38379544
422599000,3,True,False,True,True,False,True,0,0,0,0,18571,38389544
422609000,3,True,False,True,True,False,True,0,0,0,0,18571,38399544
422619000,3,True,False,True,True,False,True,0,0,0,0,18571,38409544
422629000,3,True,False,True,True,False,True,0,0,0,0,18571,38419544
422639000,3,True,False,True,True,False,True,0,0,0,0,18571,38429544
422649000,3,True,False,True,True,False,True,0,0,0,0,18571,38439544
422659000,3,True,False,True,True,False,True,0,0,0,0,18571,38449544
422669000,3,True,False,True,True,False,True,0,0,0,0,18571,38459544
422679000,3,True,False,True,True,False,True,0,0,0,0,18571,38469544
422689000,3,True,False,True,True,False,True,0,0,0,0,18571,38479544
422699000,3,True,False,True,True,False,True,0,0,0,0,18571,38489544
422709000,3,True,False,True,True,False,True,0,0,0,0,18571,38499544
422719000,3,True,False,True,True,False,True,0,0,0,0,18571,38509544
422729000,3,True,False,True,True,False,True,0,0,0,0,18571,38519544
422739000,3,True,False,True,True,False,True,0,0,0,0,18571,38529544
422749000,3,True,False,True,True,False,True,0,0,0,0,18571,38539544
422759000,3,True,False,True,True,False,True,0,0,0,0,18571,38549544
