message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-26T10:18:37.831999+00:00,0.000000000,0,18,0,0,0,,,,,,,,,,,,,,
RAWX,2025-09-26T10:18:42+00:00,0.000000000,0,18,0,0,0,,,,,,,,,,,,,,
RAWX,2025-09-26T10:18:47+00:00,0.000000000,0,18,0,0,0,,,,,,,,,,,,,,
RAWX,2025-09-26T10:18:52+00:00,0.000000000,0,18,0,0,0,,,,,,,,,,,,,,
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,0.000000000,21457032.598631777,112757470.046524659,-189.305419922,0.000000000,5.000000000,0.000000000,0.000000000,3000.000000000,41.000000000,4.000000000,2.000000000,7.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,1.000000000,22999468.196723007,120863004.828850552,-1328.048583984,0.000000000,11.000000000,0.000000000,0.000000000,3000.000000000,31.000000000,6.000000000,7.000000000,9.000000000,7.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,2.000000000,23947367.617970407,125844265.674554780,-2958.761718750,0.000000000,12.000000000,0.000000000,0.000000000,0.000000000,26.000000000,9.000000000,15.000000000,10.000000000,1.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,3.000000000,22012359.289604139,115675728.100647599,-2197.229003906,0.000000000,21.000000000,0.000000000,0.000000000,3000.000000000,45.000000000,3.000000000,1.000000000,6.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,4.000000000,23831483.560204212,125235291.974974930,-1806.184082031,0.000000000,25.000000000,0.000000000,0.000000000,3000.000000000,42.000000000,4.000000000,2.000000000,6.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,5.000000000,23829014.368842829,125222315.939034998,2753.747802734,0.000000000,29.000000000,0.000000000,0.000000000,3000.000000000,49.000000000,3.000000000,1.000000000,5.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,6.000000000,22856757.426361654,119021131.225895077,-122.294189453,3.000000000,30.000000000,0.000000000,0.000000000,3000.000000000,38.000000000,4.000000000,2.000000000,7.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,7.000000000,23641492.399157759,123107454.227541149,-1505.537353516,3.000000000,32.000000000,0.000000000,0.000000000,0.000000000,22.000000000,9.000000000,15.000000000,12.000000000,1.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,8.000000000,27848785.807787020,145015932.907713562,-3404.353027344,3.000000000,41.000000000,0.000000000,0.000000000,3000.000000000,39.000000000,4.000000000,2.000000000,7.000000000,7.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,9.000000000,28024216.882470768,145929450.360873491,-1521.002197266,3.000000000,45.000000000,0.000000000,0.000000000,3000.000000000,41.000000000,3.000000000,2.000000000,6.000000000,15.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,10.000000000,25214816.919577237,134409162.612166941,-3523.750488281,6.000000000,10.000000000,0.000000000,0.000000000,0.000000000,23.000000000,9.000000000,15.000000000,10.000000000,1.000000000
RAWX,2025-09-26T10:19:07+00:00,0.000000000,2385,18,31,0,0,11.000000000,25524181.376854572,136345605.781045109,596.545410156,6.000000000,12.000000000,0.000000000,6.000000000,3000.000000000,31.000000000,7.000000000,6.000000000,9.000000000,15.000000000
