timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-11-25T14:29:57.000482+00:00,225015000,-517327,12,4,959
2025-11-25T14:30:02.000482+00:00,225020000,-517266,12,4,526
2025-11-25T14:30:07.000482+00:00,225025000,-517205,12,4,524
2025-11-25T14:30:12.000482+00:00,225030000,-517147,11,4,556
2025-11-25T14:30:17.000482+00:00,225035000,-517091,11,4,553
2025-11-25T14:30:22.000482+00:00,225040000,-517033,12,4,544
2025-11-25T14:30:27.000483+00:00,225045000,-516971,12,4,544
2025-11-25T14:30:32.000483+00:00,225050000,-516910,12,4,529
2025-11-25T14:30:37.000483+00:00,225055000,-516850,12,4,530
2025-11-25T14:30:42.000483+00:00,225060000,-516788,13,4,526
2025-11-25T14:30:47.000483+00:00,225065000,-516722,13,4,529
2025-11-25T14:30:52.000483+00:00,225070000,-516654,14,4,533
2025-11-25T14:30:57.000483+00:00,225075000,-516583,14,4,542
2025-11-25T14:31:02.000483+00:00,225080000,-516514,14,4,539
2025-11-25T14:31:07.000483+00:00,225085000,-516446,13,4,561
2025-11-25T14:31:12.000483+00:00,225090000,-516380,13,4,558
2025-11-25T14:31:17.000483+00:00,225095000,-516311,13,4,560
2025-11-25T14:31:22.000483+00:00,225100000,-516244,14,4,566
2025-11-25T14:31:27.000483+00:00,225105000,-516176,13,4,564
2025-11-25T14:31:32.000483+00:00,225110000,-516109,13,4,567
2025-11-25T14:31:37.000483+00:00,225115000,-516041,13,4,559
2025-11-25T14:31:42.000484+00:00,225120000,-515983,11,4,573
2025-11-25T14:31:47.000484+00:00,225125000,-515929,10,4,578
2025-11-25T14:31:52.000484+00:00,225130000,-515887,7,4,587
2025-11-25T14:31:57.000484+00:00,225135000,-515867,3,4,607
2025-11-25T14:32:02.000484+00:00,225140000,-515853,3,4,593
2025-11-25T14:32:07.000484+00:00,225145000,-515835,4,4,585
2025-11-25T14:32:12.000484+00:00,225150000,-515814,4,4,582
2025-11-25T14:32:17.000484+00:00,225155000,-515791,4,4,569
2025-11-25T14:32:22.000484+00:00,225160000,-515775,3,4,578
2025-11-25T14:32:27.000484+00:00,225165000,-515761,3,4,575
2025-11-25T14:32:32.000484+00:00,225170000,-515750,1,4,579
2025-11-25T14:32:37.000484+00:00,225175000,-515746,1,4,578
2025-11-25T14:32:42.000484+00:00,225180000,-515745,-1,4,562
2025-11-25T14:32:47.000484+00:00,225185000,-515748,0,4,561
2025-11-25T14:32:52.000484+00:00,225190000,-515747,0,4,551
2025-11-25T14:32:57.000484+00:00,225195000,-515743,1,4,554
2025-11-25T14:33:02.000484+00:00,225200000,-515739,0,4,557
2025-11-25T14:33:07.000484+00:00,225205000,-515744,-1,4,567
2025-11-25T14:33:12.000484+00:00,225210000,-515751,-2,4,568
2025-11-25T14:33:17.000484+00:00,225215000,-515759,-1,4,589
2025-11-25T14:33:22.000484+00:00,225220000,-515773,-3,4,600
2025-11-25T14:33:27.000484+00:00,225225000,-515786,-2,4,582
2025-11-25T14:33:32.000484+00:00,225230000,-515795,-2,4,564
2025-11-25T14:33:37.000484+00:00,225235000,-515806,-2,4,565
2025-11-25T14:33:42.000484+00:00,225240000,-515812,-1,4,575
2025-11-25T14:33:47.000484+00:00,225245000,-515819,-2,4,578
2025-11-25T14:33:52.000484+00:00,225250000,-515828,-2,4,570
2025-11-25T14:33:57.000484+00:00,225255000,-515839,-2,4,561
2025-11-25T14:34:02.000484+00:00,225260000,-515851,-2,4,557
2025-11-25T14:34:07.000484+00:00,225265000,-515864,-3,4,554
2025-11-25T14:34:12.000484+00:00,225270000,-515877,-3,4,562
2025-11-25T14:34:17.000484+00:00,225275000,-515893,-4,4,571
2025-11-25T14:34:22.000484+00:00,225280000,-515915,-4,4,580
2025-11-25T14:34:27.000484+00:00,225285000,-515934,-4,4,575
2025-11-25T14:34:32.000484+00:00,225290000,-515953,-4,4,575
2025-11-25T14:34:37.000484+00:00,225295000,-515968,-3,4,571
2025-11-25T14:34:42.000484+00:00,225300000,-515979,-2,4,570
2025-11-25T14:34:47.000484+00:00,225305000,-515991,-2,4,585
2025-11-25T14:34:52.000483+00:00,225310000,-516005,-3,4,588
2025-11-25T14:34:57.000483+00:00,225315000,-516022,-3,4,583
2025-11-25T14:35:02.000483+00:00,225320000,-516037,-3,4,572
2025-11-25T14:35:07.000483+00:00,225325000,-516052,-3,4,568
2025-11-25T14:35:12.000483+00:00,225330000,-516067,-3,4,563
2025-11-25T14:35:17.000483+00:00,225335000,-516083,-3,4,586
2025-11-25T14:35:22.000483+00:00,225340000,-516098,-3,4,577
2025-11-25T14:35:27.000483+00:00,225345000,-516114,-3,4,569
2025-11-25T14:35:32.000483+00:00,225350000,-516128,-2,4,560
2025-11-25T14:35:37.000483+00:00,225355000,-516140,-3,4,555
2025-11-25T14:35:42.000483+00:00,225360000,-516152,-2,4,559
2025-11-25T14:35:47.000483+00:00,225365000,-516164,-3,4,557
2025-11-25T14:35:52.000483+00:00,225370000,-516178,-3,4,565
2025-11-25T14:35:57.000483+00:00,225375000,-516196,-4,4,571
2025-11-25T14:36:02.000483+00:00,225380000,-516218,-4,4,568
2025-11-25T14:36:07.000483+00:00,225385000,-516240,-4,4,563
2025-11-25T14:36:12.000483+00:00,225390000,-516258,-4,4,575
2025-11-25T14:36:17.000483+00:00,225395000,-516277,-4,4,576
2025-11-25T14:36:22.000483+00:00,225400000,-516297,-4,4,581
2025-11-25T14:36:27.000483+00:00,225405000,-516317,-4,4,586
2025-11-25T14:36:32.000483+00:00,225410000,-516335,-3,4,586
2025-11-25T14:36:37.000483+00:00,225415000,-516347,-2,4,580
2025-11-25T14:36:42.000483+00:00,225420000,-516354,-1,4,584
2025-11-25T14:36:47.000483+00:00,225425000,-516359,-1,4,585
2025-11-25T14:36:52.000483+00:00,225430000,-516360,0,4,591
2025-11-25T14:36:57.000483+00:00,225435000,-516356,1,4,590
2025-11-25T14:37:02.000483+00:00,225440000,-516347,2,4,586
2025-11-25T14:37:07.000483+00:00,225445000,-516339,2,4,567
2025-11-25T14:37:12.000483+00:00,225450000,-516332,2,4,562
2025-11-25T14:37:17.000483+00:00,225455000,-516325,1,4,572
2025-11-25T14:37:22.000483+00:00,225460000,-516320,1,4,592
2025-11-25T14:37:27.000483+00:00,225465000,-516319,0,4,590
2025-11-25T14:37:32.000483+00:00,225470000,-516318,0,4,584
2025-11-25T14:37:37.000483+00:00,225475000,-516318,0,4,570
2025-11-25T14:37:42.000483+00:00,225480000,-516316,0,4,570
2025-11-25T14:37:47.000483+00:00,225485000,-516316,-1,4,582
2025-11-25T14:37:52.000483+00:00,225490000,-516321,0,4,597
2025-11-25T14:37:57.000483+00:00,225495000,-516332,-3,4,622
2025-11-25T14:38:02.000483+00:00,225500000,-516347,-3,4,612
2025-11-25T14:38:07.000483+00:00,225505000,-516367,-5,4,609
2025-11-25T14:38:12.000483+00:00,225510000,-516391,-4,4,607
2025-11-25T14:38:17.000483+00:00,225515000,-516405,-2,4,611
2025-11-25T14:38:22.000483+00:00,225520000,-516413,-1,4,606
2025-11-25T14:38:27.000483+00:00,225525000,-516421,-2,4,609
2025-11-25T14:38:32.000483+00:00,225530000,-516429,-2,4,612
2025-11-25T14:38:37.000483+00:00,225535000,-516437,-2,4,600
2025-11-25T14:38:42.000483+00:00,225540000,-516443,-1,4,594
2025-11-25T14:38:47.000483+00:00,225545000,-516446,0,4,592
2025-11-25T14:38:52.000483+00:00,225550000,-516445,0,4,583
2025-11-25T14:38:57.000483+00:00,225555000,-516440,1,4,593
2025-11-25T14:39:02.000483+00:00,225560000,-516431,2,4,601
2025-11-25T14:39:07.000483+00:00,225565000,-516417,3,4,603
2025-11-25T14:39:12.000483+00:00,225570000,-516404,3,4,599
2025-11-25T14:39:17.000483+00:00,225575000,-516390,3,4,576
2025-11-25T14:39:22.000483+00:00,225580000,-516374,4,4,583
2025-11-25T14:39:27.000483+00:00,225585000,-516353,4,4,586
2025-11-25T14:39:32.000483+00:00,225590000,-516332,4,4,600
2025-11-25T14:39:37.000483+00:00,225595000,-516311,4,4,592
