iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
387629000,9,387629,-278123,1377,18,True,True,True
387639000,9,387639,-273349,1377,18,True,True,True
387649000,9,387649,-268574,1377,18,True,True,True
387659000,10,387659,-263798,1377,18,True,True,True
387669000,10,387669,-259026,1377,18,True,True,True
387679000,10,387679,-254252,1377,18,True,True,True
387689000,10,387689,-249477,1377,18,True,True,True
387699000,9,387699,-244704,1377,18,True,True,True
387709000,9,387709,-239931,1377,18,True,True,True
387719000,9,387719,-235157,1377,18,True,True,True
387729000,9,387729,-230383,1377,18,True,True,True
387739000,9,387739,-225609,1377,18,True,True,True
387749000,10,387749,-220836,1377,18,True,True,True
387759000,10,387759,-216063,1377,18,True,True,True
387769000,9,387769,-211292,1377,18,True,True,True
387779000,8,387779,-206518,1377,18,True,True,True
387789000,9,387789,-201746,1377,18,True,True,True
387799000,8,387799,-196972,1377,18,True,True,True
387809000,8,387809,-192199,1377,18,True,True,True
387819000,8,387819,-187424,1377,18,True,True,True
387829000,8,387829,-182650,1377,18,True,True,True
387839000,8,387839,-177879,1377,18,True,True,True
387849000,8,387849,-173107,1377,18,True,True,True
387859000,8,387859,-168334,1377,18,True,True,True
387869000,8,387869,-163561,1377,18,True,True,True
387879000,8,387879,-158787,1377,18,True,True,True
387889000,8,387889,-154013,1377,18,True,True,True
387899000,8,387899,-149239,1377,18,True,True,True
387909000,9,387909,-144463,1377,18,True,True,True
387919000,9,387919,-139687,1377,18,True,True,True
387929000,9,387929,-134911,1377,18,True,True,True
387939000,9,387939,-130134,1377,18,True,True,True
387949000,9,387949,-125358,1377,18,True,True,True
387959000,9,387959,-120582,1377,18,True,True,True
387969000,10,387969,-115804,1377,18,True,True,True
387979000,10,387979,-111022,1377,18,True,True,True
387989000,10,387989,-106243,1377,18,True,True,True
387999000,10,387999,-101466,1377,18,True,True,True
388009000,10,388009,-96689,1377,18,True,True,True
388019000,10,388019,-91912,1377,18,True,True,True
388029000,10,388029,-87135,1377,18,True,True,True
388039000,10,388039,-82358,1377,18,True,True,True
388049000,10,388049,-77579,1377,18,True,True,True
388059000,10,388059,-72800,1377,18,True,True,True
388069000,10,388069,-68022,1377,18,True,True,True
388079000,11,388079,-63243,1377,18,True,True,True
388089000,11,388089,-58463,1377,18,True,True,True
388099000,11,388099,-53683,1377,18,True,True,True
388109000,11,388109,-48905,1377,18,True,True,True
388119000,12,388119,-44126,1377,18,True,True,True
388129000,12,388129,-39348,1377,18,True,True,True
388139000,12,388139,-34570,1377,18,True,True,True
388149000,12,388149,-29789,1377,18,True,True,True
388159000,12,388159,-25010,1377,18,True,True,True
388169000,12,388169,-20231,1377,18,True,True,True
388179000,13,388179,-15452,1377,18,True,True,True
388189000,13,388189,-10671,1377,18,True,True,True
388199000,13,388199,-5892,1377,18,True,True,True
388209000,13,388209,-1113,1377,18,True,True,True
388219000,13,388219,3665,1377,18,True,True,True
388229000,13,388229,8444,1377,18,True,True,True
388239000,13,388239,13221,1377,18,True,True,True
388249000,12,388249,17998,1377,18,True,True,True
388259000,13,388259,22776,1377,18,True,True,True
388269000,13,388269,27554,1377,18,True,True,True
388279000,13,388279,32333,1377,18,True,True,True
388289000,13,388289,37113,1377,18,True,True,True
388299000,13,388299,41893,1377,18,True,True,True
388309000,13,388309,46672,1377,18,True,True,True
388319000,13,388319,51451,1377,18,True,True,True
388329000,13,388329,56231,1377,18,True,True,True
388339000,13,388339,61009,1377,18,True,True,True
388349000,12,388349,65786,1377,18,True,True,True
388359000,12,388359,70566,1377,18,True,True,True
388369000,12,388369,75346,1377,18,True,True,True
388379000,12,388379,80126,1377,18,True,True,True
388389000,12,388389,84907,1377,18,True,True,True
388399000,12,388399,89688,1377,18,True,True,True
388409000,12,388409,94473,1377,18,True,True,True
388419000,11,388419,99258,1377,18,True,True,True
388429000,11,388429,104041,1377,18,True,True,True
388439000,11,388439,108823,1377,18,True,True,True
388449000,11,388449,113608,1377,18,True,True,True
388459000,10,388459,118391,1377,18,True,True,True
388469000,9,388469,123178,1377,18,True,True,True
388479000,8,388479,127962,1377,18,True,True,True
388489000,8,388489,132744,1377,18,True,True,True
388499000,8,388499,137525,1377,18,True,True,True
388509000,7,388509,142307,1377,18,True,True,True
388519000,7,388519,147087,1377,18,True,True,True
388529000,7,388529,151868,1377,18,True,True,True
388539000,7,388539,156648,1377,18,True,True,True
388549000,7,388549,161427,1377,18,True,True,True
388559000,7,388559,166208,1377,18,True,True,True
388569000,7,388569,170988,1377,18,True,True,True
388579000,7,388579,175769,1377,18,True,True,True
388589000,8,388589,180552,1377,18,True,True,True
388599000,8,388599,185334,1377,18,True,True,True
388609000,8,388609,190118,1377,18,True,True,True
388619000,9,388619,194900,1377,18,True,True,True
388629000,9,388629,199681,1377,18,True,True,True
388639000,9,388639,204462,1377,18,True,True,True
388649000,9,388649,209246,1377,18,True,True,True
388659000,9,388659,214029,1377,18,True,True,True
388669000,9,388669,218812,1377,18,True,True,True
388679000,9,388679,223596,1377,18,True,True,True
388689000,10,388689,228379,1377,18,True,True,True
388699000,10,388699,233163,1377,18,True,True,True
388709000,10,388709,237947,1377,18,True,True,True
388719000,9,388719,242732,1377,18,True,True,True
388729000,9,388729,247517,1377,18,True,True,True
388739000,9,388739,252302,1377,18,True,True,True
388749000,9,388749,257086,1377,18,True,True,True
388759000,9,388759,261871,1377,18,True,True,True
388769000,9,388769,266655,1377,18,True,True,True
388779000,9,388779,271437,1377,18,True,True,True
388789000,9,388789,276221,1377,18,True,True,True
388799000,9,388799,281005,1377,18,True,True,True
388809000,9,388809,285788,1377,18,True,True,True
388819000,9,388819,290571,1377,18,True,True,True
388829000,9,388829,295355,1377,18,True,True,True
388839000,9,388839,300139,1377,18,True,True,True
388849000,8,388849,304924,1377,18,True,True,True
388859000,8,388859,309710,1377,18,True,True,True
388869000,8,388869,314495,1377,18,True,True,True
388879000,8,388879,319280,1377,18,True,True,True
388889000,8,388889,324065,1377,18,True,True,True
388899000,8,388899,328849,1377,18,True,True,True
388909000,8,388909,333633,1377,18,True,True,True
388919000,8,388919,338416,1377,18,True,True,True
388929000,8,388929,343197,1377,18,True,True,True
388939000,8,388939,347979,1377,18,True,True,True
388949000,7,388949,352760,1377,18,True,True,True
388959000,7,388959,357543,1377,18,True,True,True
