iTOW,clkB,clkD,tAcc,fAcc
386279000,-79654,-473,6,609
386289000,-84376,-473,5,616
386299000,-89102,-473,5,658
386309000,-93831,-473,6,638
386319000,-98563,-473,6,676
386329000,-103295,-473,7,724
386339000,-108029,-473,7,767
386349000,-112763,-473,8,814
386359000,-117499,-473,8,732
386369000,-122233,-473,8,716
386379000,-126970,-474,8,687
386389000,-131708,-474,8,680
386399000,-136447,-474,8,668
386409000,-141186,-474,8,674
386419000,-145926,-474,8,669
386429000,-150666,-474,8,688
386439000,-155405,-474,8,687
386449000,-160145,-474,8,676
386459000,-164887,-474,8,689
386469000,-169629,-474,9,717
386479000,-174373,-474,9,701
386489000,-179118,-474,9,749
386499000,-183863,-474,9,761
386509000,-188609,-474,9,760
386519000,-193355,-474,9,727
386529000,-198099,-474,9,759
386539000,-202846,-475,9,707
386549000,-207592,-475,9,705
386559000,-212339,-474,9,878
386569000,-217087,-475,10,925
386579000,-221835,-475,10,829
386589000,-226584,-475,10,815
386599000,-231333,-475,10,831
386609000,-236081,-475,10,837
386619000,-240830,-475,10,748
386629000,-245579,-475,10,855
386639000,-250327,-475,10,817
386649000,-255076,-475,11,1041
386659000,-259824,-475,11,1015
386669000,-264572,-475,11,1050
386679000,-269321,-475,11,854
386689000,-274071,-475,11,855
386699000,-278821,-475,11,895
386709000,-283570,-475,10,683
386719000,-288322,-475,10,909
386729000,-293073,-475,10,906
386739000,-297825,-475,10,977
386749000,-302576,-475,10,1034
386759000,-307329,-475,11,920
386769000,-312084,-476,11,885
386779000,-316839,-475,10,836
386789000,-321595,-476,10,822
386799000,-326352,-476,10,795
386809000,-331110,-476,10,829
386819000,-335865,-476,10,879
386829000,-340622,-476,10,979
386839000,-345380,-476,10,993
386849000,-350133,-475,10,880
386859000,-354884,-476,10,882
386869000,-359639,-476,10,938
386879000,-364395,-476,10,971
386889000,-369151,-476,10,875
386899000,-373906,-476,10,719
386909000,-378664,-476,10,708
386919000,-383424,-476,10,702
386929000,-388183,-476,9,697
386939000,-392944,-476,9,773
386949000,-397705,-476,9,764
386959000,-402467,-476,9,773
386969000,-407226,-476,9,752
386979000,-411986,-476,10,814
386989000,-416747,-476,10,757
386999000,-421507,-476,9,793
387009000,-426267,-476,9,747
387019000,-431028,-476,9,774
387029000,-435788,-476,9,704
387039000,-440549,-476,9,656
387049000,-445310,-476,9,701
387059000,-450071,-476,9,753
387069000,-454833,-476,10,721
387079000,-459595,-476,10,724
387089000,-464356,-476,9,759
387099000,-469120,-476,10,802
387109000,-473883,-476,10,722
387119000,-478647,-476,10,875
387129000,-483414,-477,10,875
387139000,-488179,-476,11,895
387149000,-492944,-476,11,820
387159000,-497708,-476,11,789
387169000,-502472,-477,11,875
387179000,-507238,-477,11,874
387189000,-512006,-476,12,906
387199000,-516774,-477,12,895
387209000,-521541,-477,12,806
387219000,-526308,-477,12,810
387229000,-531074,-477,12,870
387239000,-535839,-477,11,794
387249000,-540606,-477,11,759
387259000,-545372,-477,11,783
387269000,-550140,-477,11,789
387279000,-554907,-477,10,766
387289000,-559675,-477,10,764
387299000,-564443,-477,10,702
387309000,-569211,-477,10,711
387319000,-573978,-477,10,726
387329000,-578746,-477,10,696
387339000,-583514,-477,10,679
387349000,-588281,-477,10,658
387359000,-593049,-477,10,653
387369000,-597818,-477,10,656
387379000,-602588,-477,10,654
387389000,-607360,-477,9,680
387399000,-612131,-477,9,668
387409000,-616903,-477,9,685
387419000,-621674,-477,9,698
387429000,-626445,-477,9,699
387439000,-631216,-477,9,628
387449000,-635986,-477,9,715
387459000,-640756,-477,9,631
387469000,-645526,-477,9,634
387479000,-650295,-477,9,626
387489000,-655067,-477,9,587
387499000,-659839,-477,9,602
387509000,-664612,-477,9,662
387519000,-669383,-477,9,682
387529000,-674155,-477,9,633
387539000,-678927,-477,9,632
387549000,-683700,-477,9,641
387559000,-688473,-477,9,638
387569000,-693247,-477,9,617
387579000,-698020,-477,9,630
387589000,-702795,-477,9,648
387599000,-707569,-477,9,651
387609000,-712341,-477,9,670
387619000,-717113,-477,9,695
387629000,-721885,-477,9,721
387639000,-726659,-478,9,730
387649000,-731433,-477,9,781
387659000,-736210,-478,9,782
387669000,-740982,-477,10,840
387679000,-745756,-477,10,687
387689000,-750530,-477,9,669
387699000,-755304,-477,9,648
387709000,-760077,-477,9,706
387719000,-764851,-477,9,704
387729000,-769624,-477,9,669
387739000,-774398,-477,9,794
387749000,-779172,-477,9,773
387759000,-783945,-477,9,773
387769000,-788716,-477,9,676
387779000,-793490,-477,8,708
387789000,-798262,-477,8,739
387799000,-803036,-477,8,630
387809000,-807809,-477,8,670
387819000,-812584,-478,7,646
387829000,-817358,-478,7,746
387839000,-822129,-477,7,708
387849000,-826901,-477,7,668
387859000,-831674,-478,7,696
387869000,-836447,-477,7,700
387879000,-841221,-478,7,672
387889000,-845995,-478,7,634
387899000,-850769,-478,8,704
387909000,-855545,-477,8,704
387919000,-860321,-477,8,664
387929000,-865097,-477,8,665
387939000,-869873,-477,8,646
387949000,-874649,-477,8,649
387959000,-879425,-478,9,659
387969000,-884203,-478,9,649
387979000,-888986,-478,9,692
387989000,-893764,-478,9,647
387999000,-898541,-478,9,645
388009000,-903318,-478,9,619
388019000,-908095,-478,9,620
388029000,-912872,-478,9,626
388039000,-917650,-478,9,629
388049000,-922428,-478,10,626
388059000,-927207,-478,10,641
388069000,-931985,-478,10,643
388079000,-936764,-478,10,646
388089000,-941544,-478,10,653
388099000,-946324,-478,11,675
388109000,-951103,-478,11,666
388119000,-955882,-478,11,673
388129000,-960660,-478,11,659
388139000,-965438,-478,12,698
388149000,-970218,-478,12,689
388159000,-974998,-478,12,690
388169000,-979776,-478,12,693
388179000,-984555,-478,12,700
388189000,-989336,-478,12,684
388199000,-994115,-478,12,693
388209000,-998894,-478,12,671
388219000,-3673,-478,12,667
388229000,-8451,-478,12,670
388239000,-13229,-478,12,680
388249000,-18006,-478,12,683
388259000,-22784,-478,12,672
388269000,-27562,-478,12,669
