bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue
1,38,41,5,16,3,25,2070,18,0,0,0
1,39,41,5,16,3,25,2080,18,0,0,0
1,38,41,5,16,3,25,2090,18,0,0,0
1,38,41,5,16,3,25,2100,18,0,0,0
1,40,41,5,16,3,25,2110,18,0,0,0
1,39,41,5,16,3,25,2120,18,0,0,0
1,38,41,5,16,3,25,2130,18,0,0,0
1,38,41,5,16,3,25,2140,18,0,0,0
1,38,41,5,16,3,25,2150,18,0,0,0
1,38,41,5,16,3,25,2160,18,0,0,0
1,39,41,5,16,3,25,2170,18,0,0,0
1,38,41,5,16,3,25,2180,18,0,0,0
1,38,41,5,16,3,25,2190,18,0,0,0
1,38,41,5,16,3,25,2200,18,0,0,0
1,38,41,5,16,3,25,2210,18,0,0,0
1,38,41,5,16,3,25,2220,18,0,0,0
1,40,41,5,16,3,25,2230,18,0,0,0
1,39,41,5,16,3,25,2240,18,0,0,0
1,38,41,5,16,3,25,2250,18,0,0,0
1,38,41,5,16,3,25,2260,18,0,0,0
1,38,41,5,16,3,25,2270,18,0,0,0
1,40,41,5,16,3,25,2280,18,0,0,0
1,39,41,5,16,3,25,2290,18,0,0,0
1,38,41,5,16,3,25,2300,18,0,0,0
1,40,41,5,16,3,25,2310,18,0,0,0
1,39,41,5,16,3,25,2320,18,0,0,0
1,39,41,5,16,3,25,2330,18,0,0,0
1,39,41,5,16,3,25,2340,18,0,0,0
1,39,41,5,16,3,25,2350,18,0,0,0
1,38,41,5,16,3,25,2360,18,0,0,0
1,40,41,5,16,3,25,2370,18,0,0,0
1,38,41,5,16,3,25,2380,18,0,0,0
1,38,41,5,16,3,25,2390,18,0,0,0
1,39,41,5,16,3,25,2400,18,0,0,0
1,39,41,5,16,3,25,2410,18,0,0,0
1,39,41,6,16,3,25,2420,18,0,0,0
1,39,41,5,16,3,25,2430,18,0,0,0
1,38,41,5,16,3,25,2440,18,0,0,0
1,38,41,5,16,3,25,2450,18,0,0,0
1,39,41,5,16,3,25,2460,18,0,0,0
1,39,41,5,16,3,25,2470,18,0,0,0
1,38,41,5,16,3,25,2480,18,0,0,0
1,38,41,5,16,3,25,2490,18,0,0,0
1,39,41,7,16,3,25,2500,18,0,0,0
1,38,41,5,16,3,25,2510,18,0,0,0
1,38,41,5,16,3,25,2520,18,0,0,0
1,39,41,5,16,3,25,2530,18,0,0,0
1,39,41,5,16,3,25,2540,18,0,0,0
1,37,41,5,16,3,25,2550,18,0,0,0
1,38,41,5,16,3,25,2560,18,0,0,0
1,37,41,5,16,3,25,2570,18,0,0,0
1,37,41,5,16,3,25,2580,18,0,0,0
1,39,41,5,16,3,25,2590,18,0,0,0
1,39,41,5,16,3,25,2600,18,0,0,0
1,38,41,5,16,3,25,2610,18,0,0,0
1,38,41,5,16,3,25,2620,18,0,0,0
1,39,41,5,16,3,25,2630,18,0,0,0
1,38,41,5,16,3,25,2640,18,0,0,0
1,40,41,5,16,3,25,2650,18,0,0,0
1,39,41,5,16,3,25,2660,18,0,0,0
1,39,41,5,16,3,25,2670,18,0,0,0
1,39,41,5,16,3,25,2680,18,0,0,0
1,40,41,5,16,3,25,2690,18,0,0,0
1,39,41,5,16,3,25,2700,18,0,0,0
1,40,41,5,16,3,25,2710,18,0,0,0
1,39,41,5,16,3,25,2720,18,0,0,0
1,39,41,5,16,3,25,2730,18,0,0,0
1,40,41,5,16,3,25,2740,18,0,0,0
1,40,41,5,16,3,25,2750,18,0,0,0
1,39,41,5,16,3,25,2760,18,0,0,0
1,40,41,5,16,3,25,2770,18,0,0,0
1,40,41,5,16,3,25,2780,18,0,0,0
1,41,41,5,16,3,25,2790,18,0,0,0
1,40,41,5,16,3,25,2800,18,0,0,0
1,39,41,5,16,3,25,2810,18,0,0,0
1,41,41,5,16,3,25,2820,18,0,0,0
1,41,41,5,16,3,25,2830,18,0,0,0
1,39,41,5,16,3,25,2840,18,0,0,0
1,41,41,5,16,3,25,2850,18,0,0,0
1,39,41,5,16,3,25,2860,18,0,0,0
1,39,41,5,16,3,25,2870,18,0,0,0
1,40,41,5,16,3,25,2880,18,0,0,0
1,40,41,5,16,3,25,2890,18,0,0,0
1,39,41,5,16,3,25,2900,18,0,0,0
1,39,41,5,16,3,25,2910,18,0,0,0
1,39,41,5,16,3,25,2920,18,0,0,0
1,39,41,5,16,3,25,2930,18,0,0,0
1,39,41,5,16,3,25,2940,18,0,0,0
1,40,41,5,16,3,25,2950,18,0,0,0
1,41,41,5,16,3,25,2960,18,0,0,0
