iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
386279000,3,True,False,True,True,False,True,0,0,0,0,18571,2069561
386289000,3,True,False,True,True,False,True,0,0,0,0,18571,2079561
386299000,3,True,False,True,True,False,True,0,0,0,0,18571,2089561
386309000,3,True,False,True,True,False,True,0,0,0,0,18571,2099561
386319000,3,True,False,True,True,False,True,0,0,0,0,18571,2109561
386329000,3,True,False,True,True,False,True,0,0,0,0,18571,2119561
386339000,3,True,False,True,True,False,True,0,0,0,0,18571,2129561
386349000,3,True,False,True,True,False,True,0,0,0,0,18571,2139561
386359000,3,True,False,True,True,False,True,0,0,0,0,18571,2149561
386369000,3,True,False,True,True,False,True,0,0,0,0,18571,2159561
386379000,3,True,False,True,True,False,True,0,0,0,0,18571,2169561
386389000,3,True,False,True,True,False,True,0,0,0,0,18571,2179561
386399000,3,True,False,True,True,False,True,0,0,0,0,18571,2189561
386409000,3,True,False,True,True,False,True,0,0,0,0,18571,2199561
386419000,3,True,False,True,True,False,True,0,0,0,0,18571,2209561
386429000,3,True,False,True,True,False,True,0,0,0,0,18571,2219561
386439000,3,True,False,True,True,False,True,0,0,0,0,18571,2229561
386449000,3,True,False,True,True,False,True,0,0,0,0,18571,2239561
386459000,3,True,False,True,True,False,True,0,0,0,0,18571,2249561
386469000,3,True,False,True,True,False,True,0,0,0,0,18571,2259561
386479000,3,True,False,True,True,False,True,0,0,0,0,18571,2269561
386489000,3,True,False,True,True,False,True,0,0,0,0,18571,2279561
386499000,3,True,False,True,True,False,True,0,0,0,0,18571,2289561
386509000,3,True,False,True,True,False,True,0,0,0,0,18571,2299561
386519000,3,True,False,True,True,False,True,0,0,0,0,18571,2309561
386529000,3,True,False,True,True,False,True,0,0,0,0,18571,2319561
386539000,3,True,False,True,True,False,True,0,0,0,0,18571,2329561
386549000,3,True,False,True,True,False,True,0,0,0,0,18571,2339561
386559000,3,True,False,True,True,False,True,0,0,0,0,18571,2349561
386569000,3,True,False,True,True,False,True,0,0,0,0,18571,2359561
386579000,3,True,False,True,True,False,True,0,0,0,0,18571,2369561
386589000,3,True,False,True,True,False,True,0,0,0,0,18571,2379561
386599000,3,True,False,True,True,False,True,0,0,0,0,18571,2389561
386609000,3,True,False,True,True,False,True,0,0,0,0,18571,2399561
386619000,3,True,False,True,True,False,True,0,0,0,0,18571,2409561
386629000,3,True,False,True,True,False,True,0,0,0,0,18571,2419561
386639000,3,True,False,True,True,False,True,0,0,0,0,18571,2429561
386649000,3,True,False,True,True,False,True,0,0,0,0,18571,2439561
386659000,3,True,False,True,True,False,True,0,0,0,0,18571,2449561
386669000,3,True,False,True,True,False,True,0,0,0,0,18571,2459561
386679000,3,True,False,True,True,False,True,0,0,0,0,18571,2469561
386689000,3,True,False,True,True,False,True,0,0,0,0,18571,2479561
386699000,3,True,False,True,True,False,True,0,0,0,0,18571,2489561
386709000,3,True,False,True,True,False,True,0,0,0,0,18571,2499561
386719000,3,True,False,True,True,False,True,0,0,0,0,18571,2509561
386729000,3,True,False,True,True,False,True,0,0,0,0,18571,2519561
386739000,3,True,False,True,True,False,True,0,0,0,0,18571,2529561
386749000,3,True,False,True,True,False,True,0,0,0,0,18571,2539561
386759000,3,True,False,True,True,False,True,0,0,0,0,18571,2549561
386769000,3,True,False,True,True,False,True,0,0,0,0,18571,2559561
386779000,3,True,False,True,True,False,True,0,0,0,0,18571,2569561
386789000,3,True,False,True,True,False,True,0,0,0,0,18571,2579561
386799000,3,True,False,True,True,False,True,0,0,0,0,18571,2589561
386809000,3,True,False,True,True,False,True,0,0,0,0,18571,2599561
386819000,3,True,False,True,True,False,True,0,0,0,0,18571,2609561
386829000,3,True,False,True,True,False,True,0,0,0,0,18571,2619561
386839000,3,True,False,True,True,False,True,0,0,0,0,18571,2629561
386849000,3,True,False,True,True,False,True,0,0,0,0,18571,2639561
386859000,3,True,False,True,True,False,True,0,0,0,0,18571,2649561
386869000,3,True,False,True,True,False,True,0,0,0,0,18571,2659561
386879000,3,True,False,True,True,False,True,0,0,0,0,18571,2669561
386889000,3,True,False,True,True,False,True,0,0,0,0,18571,2679561
386899000,3,True,False,True,True,False,True,0,0,0,0,18571,2689561
386909000,3,True,False,True,True,False,True,0,0,0,0,18571,2699561
386919000,3,True,False,True,True,False,True,0,0,0,0,18571,2709561
386929000,3,True,False,True,True,False,True,0,0,0,0,18571,2719561
386939000,3,True,False,True,True,False,True,0,0,0,0,18571,2729561
386949000,3,True,False,True,True,False,True,0,0,0,0,18571,2739561
386959000,3,True,False,True,True,False,True,0,0,0,0,18571,2749561
386969000,3,True,False,True,True,False,True,0,0,0,0,18571,2759561
386979000,3,True,False,True,True,False,True,0,0,0,0,18571,2769561
386989000,3,True,False,True,True,False,True,0,0,0,0,18571,2779561
386999000,3,True,False,True,True,False,True,0,0,0,0,18571,2789561
387009000,3,True,False,True,True,False,True,0,0,0,0,18571,2799561
387019000,3,True,False,True,True,False,True,0,0,0,0,18571,2809561
387029000,3,True,False,True,True,False,True,0,0,0,0,18571,2819561
387039000,3,True,False,True,True,False,True,0,0,0,0,18571,2829561
387049000,3,True,False,True,True,False,True,0,0,0,0,18571,2839561
387059000,3,True,False,True,True,False,True,0,0,0,0,18571,2849561
387069000,3,True,False,True,True,False,True,0,0,0,0,18571,2859561
387079000,3,True,False,True,True,False,True,0,0,0,0,18571,2869561
387089000,3,True,False,True,True,False,True,0,0,0,0,18571,2879561
387099000,3,True,False,True,True,False,True,0,0,0,0,18571,2889561
387109000,3,True,False,True,True,False,True,0,0,0,0,18571,2899561
387119000,3,True,False,True,True,False,True,0,0,0,0,18571,2909561
387129000,3,True,False,True,True,False,True,0,0,0,0,18571,2919561
387139000,3,True,False,True,True,False,True,0,0,0,0,18571,2929561
387149000,3,True,False,True,True,False,True,0,0,0,0,18571,2939561
387159000,3,True,False,True,True,False,True,0,0,0,0,18571,2949561
387169000,3,True,False,True,True,False,True,0,0,0,0,18571,2959560
387179000,3,True,False,True,True,False,True,0,0,0,0,18571,2969560
387189000,3,True,False,True,True,False,True,0,0,0,0,18571,2979560
387199000,3,True,False,True,True,False,True,0,0,0,0,18571,2989560
387209000,3,True,False,True,True,False,True,0,0,0,0,18571,2999560
387219000,3,True,False,True,True,False,True,0,0,0,0,18571,3009560
387229000,3,True,False,True,True,False,True,0,0,0,0,18571,3019560
387239000,3,True,False,True,True,False,True,0,0,0,0,18571,3029560
387249000,3,True,False,True,True,False,True,0,0,0,0,18571,3039560
387259000,3,True,False,True,True,False,True,0,0,0,0,18571,3049560
387269000,3,True,False,True,True,False,True,0,0,0,0,18571,3059560
387279000,3,True,False,True,True,False,True,0,0,0,0,18571,3069560
387289000,3,True,False,True,True,False,True,0,0,0,0,18571,3079560
387299000,3,True,False,True,True,False,True,0,0,0,0,18571,3089560
387309000,3,True,False,True,True,False,True,0,0,0,0,18571,3099560
