iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
387629000,387629,-278123,1377,18,True,True,True,9
387639000,387639,-273349,1377,18,True,True,True,9
387649000,387649,-268574,1377,18,True,True,True,9
387659000,387659,-263798,1377,18,True,True,True,10
387669000,387669,-259026,1377,18,True,True,True,10
387679000,387679,-254252,1377,18,True,True,True,10
387689000,387689,-249477,1377,18,True,True,True,10
387699000,387699,-244704,1377,18,True,True,True,9
387709000,387709,-239931,1377,18,True,True,True,9
387719000,387719,-235157,1377,18,True,True,True,9
387729000,387729,-230383,1377,18,True,True,True,9
387739000,387739,-225609,1377,18,True,True,True,9
387749000,387749,-220836,1377,18,True,True,True,10
387759000,387759,-216063,1377,18,True,True,True,10
387769000,387769,-211292,1377,18,True,True,True,9
387779000,387779,-206518,1377,18,True,True,True,8
387789000,387789,-201746,1377,18,True,True,True,9
387799000,387799,-196972,1377,18,True,True,True,8
387809000,387809,-192199,1377,18,True,True,True,8
387819000,387819,-187424,1377,18,True,True,True,8
387829000,387829,-182650,1377,18,True,True,True,8
387839000,387839,-177879,1377,18,True,True,True,8
387849000,387849,-173107,1377,18,True,True,True,8
387859000,387859,-168334,1377,18,True,True,True,8
387869000,387869,-163561,1377,18,True,True,True,8
387879000,387879,-158787,1377,18,True,True,True,8
387889000,387889,-154013,1377,18,True,True,True,8
387899000,387899,-149239,1377,18,True,True,True,8
387909000,387909,-144463,1377,18,True,True,True,9
387919000,387919,-139687,1377,18,True,True,True,9
387929000,387929,-134911,1377,18,True,True,True,9
387939000,387939,-130134,1377,18,True,True,True,9
387949000,387949,-125358,1377,18,True,True,True,9
387959000,387959,-120582,1377,18,True,True,True,9
387969000,387969,-115804,1377,18,True,True,True,10
387979000,387979,-111022,1377,18,True,True,True,10
387989000,387989,-106243,1377,18,True,True,True,10
387999000,387999,-101466,1377,18,True,True,True,10
388009000,388009,-96689,1377,18,True,True,True,10
388019000,388019,-91912,1377,18,True,True,True,10
388029000,388029,-87135,1377,18,True,True,True,10
388039000,388039,-82358,1377,18,True,True,True,10
388049000,388049,-77579,1377,18,True,True,True,10
388059000,388059,-72800,1377,18,True,True,True,10
388069000,388069,-68022,1377,18,True,True,True,10
388079000,388079,-63243,1377,18,True,True,True,11
388089000,388089,-58463,1377,18,True,True,True,11
388099000,388099,-53683,1377,18,True,True,True,11
388109000,388109,-48905,1377,18,True,True,True,11
388119000,388119,-44126,1377,18,True,True,True,12
388129000,388129,-39348,1377,18,True,True,True,12
388139000,388139,-34570,1377,18,True,True,True,12
388149000,388149,-29789,1377,18,True,True,True,12
388159000,388159,-25010,1377,18,True,True,True,12
388169000,388169,-20231,1377,18,True,True,True,12
388179000,388179,-15452,1377,18,True,True,True,13
388189000,388189,-10671,1377,18,True,True,True,13
388199000,388199,-5892,1377,18,True,True,True,13
388209000,388209,-1113,1377,18,True,True,True,13
388219000,388219,3665,1377,18,True,True,True,13
388229000,388229,8444,1377,18,True,True,True,13
388239000,388239,13221,1377,18,True,True,True,13
388249000,388249,17998,1377,18,True,True,True,12
388259000,388259,22776,1377,18,True,True,True,13
388269000,388269,27554,1377,18,True,True,True,13
388279000,388279,32333,1377,18,True,True,True,13
388289000,388289,37113,1377,18,True,True,True,13
388299000,388299,41893,1377,18,True,True,True,13
388309000,388309,46672,1377,18,True,True,True,13
388319000,388319,51451,1377,18,True,True,True,13
388329000,388329,56231,1377,18,True,True,True,13
388339000,388339,61009,1377,18,True,True,True,13
388349000,388349,65786,1377,18,True,True,True,12
388359000,388359,70566,1377,18,True,True,True,12
388369000,388369,75346,1377,18,True,True,True,12
388379000,388379,80126,1377,18,True,True,True,12
388389000,388389,84907,1377,18,True,True,True,12
388399000,388399,89688,1377,18,True,True,True,12
388409000,388409,94473,1377,18,True,True,True,12
388419000,388419,99258,1377,18,True,True,True,11
388429000,388429,104041,1377,18,True,True,True,11
388439000,388439,108823,1377,18,True,True,True,11
388449000,388449,113608,1377,18,True,True,True,11
388459000,388459,118391,1377,18,True,True,True,10
388469000,388469,123178,1377,18,True,True,True,9
388479000,388479,127962,1377,18,True,True,True,8
388489000,388489,132744,1377,18,True,True,True,8
388499000,388499,137525,1377,18,True,True,True,8
388509000,388509,142307,1377,18,True,True,True,7
388519000,388519,147087,1377,18,True,True,True,7
388529000,388529,151868,1377,18,True,True,True,7
388539000,388539,156648,1377,18,True,True,True,7
388549000,388549,161427,1377,18,True,True,True,7
388559000,388559,166208,1377,18,True,True,True,7
388569000,388569,170988,1377,18,True,True,True,7
388579000,388579,175769,1377,18,True,True,True,7
388589000,388589,180552,1377,18,True,True,True,8
388599000,388599,185334,1377,18,True,True,True,8
388609000,388609,190118,1377,18,True,True,True,8
388619000,388619,194900,1377,18,True,True,True,9
388629000,388629,199681,1377,18,True,True,True,9
388639000,388639,204462,1377,18,True,True,True,9
388649000,388649,209246,1377,18,True,True,True,9
388659000,388659,214029,1377,18,True,True,True,9
388669000,388669,218812,1377,18,True,True,True,9
388679000,388679,223596,1377,18,True,True,True,9
