iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
387819000,-187416,2401,18,True,True,True,7
387829000,-182642,2401,18,True,True,True,7
387839000,-177871,2401,18,True,True,True,7
387849000,-173099,2401,18,True,True,True,7
387859000,-168326,2401,18,True,True,True,7
387869000,-163553,2401,18,True,True,True,7
387879000,-158779,2401,18,True,True,True,7
387889000,-154005,2401,18,True,True,True,7
387899000,-149231,2401,18,True,True,True,8
387909000,-144455,2401,18,True,True,True,8
387919000,-139679,2401,18,True,True,True,8
387929000,-134903,2401,18,True,True,True,8
387939000,-130127,2401,18,True,True,True,8
387949000,-125351,2401,18,True,True,True,8
387959000,-120575,2401,18,True,True,True,9
387969000,-115797,2401,18,True,True,True,9
387979000,-111014,2401,18,True,True,True,9
387989000,-106236,2401,18,True,True,True,9
387999000,-101459,2401,18,True,True,True,9
388009000,-96682,2401,18,True,True,True,9
388019000,-91905,2401,18,True,True,True,9
388029000,-87128,2401,18,True,True,True,9
388039000,-82350,2401,18,True,True,True,9
388049000,-77572,2401,18,True,True,True,10
388059000,-72793,2401,18,True,True,True,10
388069000,-68015,2401,18,True,True,True,10
388079000,-63236,2401,18,True,True,True,10
388089000,-58456,2401,18,True,True,True,10
388099000,-53676,2401,18,True,True,True,11
388109000,-48897,2401,18,True,True,True,11
388119000,-44118,2401,18,True,True,True,11
388129000,-39340,2401,18,True,True,True,11
388139000,-34562,2401,18,True,True,True,12
388149000,-29782,2401,18,True,True,True,12
388159000,-25002,2401,18,True,True,True,12
388169000,-20223,2401,18,True,True,True,12
388179000,-15445,2401,18,True,True,True,12
388189000,-10664,2401,18,True,True,True,12
388199000,-5885,2401,18,True,True,True,12
388209000,-1106,2401,18,True,True,True,12
388219000,3673,2401,18,True,True,True,12
388229000,8451,2401,18,True,True,True,12
388239000,13229,2401,18,True,True,True,12
388249000,18006,2401,18,True,True,True,12
388259000,22784,2401,18,True,True,True,12
388269000,27562,2401,18,True,True,True,12
388279000,32341,2401,18,True,True,True,12
388289000,37121,2401,18,True,True,True,12
388299000,41900,2401,18,True,True,True,12
388309000,46679,2401,18,True,True,True,12
388319000,51459,2401,18,True,True,True,12
388329000,56239,2401,18,True,True,True,12
388339000,61016,2401,18,True,True,True,12
388349000,65794,2401,18,True,True,True,12
388359000,70573,2401,18,True,True,True,12
388369000,75354,2401,18,True,True,True,12
388379000,80134,2401,18,True,True,True,12
388389000,84914,2401,18,True,True,True,12
388399000,89696,2401,18,True,True,True,12
388409000,94481,2401,18,True,True,True,11
388419000,99265,2401,18,True,True,True,11
388429000,104049,2401,18,True,True,True,11
388439000,108831,2401,18,True,True,True,11
388449000,113615,2401,18,True,True,True,10
388459000,118399,2401,18,True,True,True,10
388469000,123186,2401,18,True,True,True,8
388479000,127969,2401,18,True,True,True,8
388489000,132751,2401,18,True,True,True,7
388499000,137533,2401,18,True,True,True,7
388509000,142315,2401,18,True,True,True,7
388519000,147095,2401,18,True,True,True,7
