iTOW,clkB,clkD,tAcc,fAcc
228207000,993464,556,19,857
228212000,996243,556,19,876
228217000,999022,556,19,885
228222000,1801,556,19,881
228227000,4580,556,19,882
228232000,7358,556,19,879
228237000,10137,556,19,882
228242000,12915,556,19,871
228247000,15693,556,19,877
228252000,18471,556,19,877
228257000,21250,556,20,872
228262000,24028,556,20,873
228267000,26806,556,20,871
228272000,29584,556,20,873
228277000,32362,556,20,834
228282000,35140,556,20,833
228287000,37917,555,20,833
228292000,40694,555,20,885
228297000,43471,555,20,883
228302000,46248,555,20,872
228307000,49025,555,20,864
228312000,51802,555,20,867
228317000,54579,555,20,879
228322000,57355,555,20,895
228327000,60132,555,20,892
228332000,62909,555,20,863
228337000,65685,555,20,867
228342000,68461,555,20,872
228347000,71238,555,20,859
228352000,74014,555,20,854
228357000,76790,555,20,864
228362000,79566,555,20,855
228367000,82342,555,20,877
228372000,85117,555,20,892
228377000,87892,555,20,884
228382000,90667,555,20,886
228387000,93442,555,20,887
228392000,96216,555,20,886
228397000,98990,555,20,883
228402000,101764,555,20,893
228407000,104539,555,20,897
228412000,107313,555,20,861
228417000,110087,555,21,890
228422000,112861,555,21,859
228427000,115636,555,21,848
228432000,118410,555,21,849
228437000,121184,555,21,839
228442000,123958,555,21,842
228447000,126732,555,21,850
228452000,129505,555,21,813
228457000,132279,555,20,817
228462000,135052,555,20,812
228467000,137826,555,20,817
228472000,140598,555,20,817
228477000,143372,555,20,817
228482000,146145,555,20,817
228487000,148918,555,20,810
228492000,151691,554,20,809
228497000,154463,554,20,834
228502000,157236,554,20,830
228507000,160008,554,20,831
228512000,162780,554,20,893
228517000,165551,554,20,839
228522000,168323,554,20,830
228527000,171095,554,20,864
228532000,173867,554,20,834
228537000,176639,554,20,799
228542000,179410,554,20,797
228547000,182181,554,20,802
228552000,184953,554,20,792
228557000,187724,554,19,794
228562000,190495,554,19,798
228567000,193266,554,19,801
228572000,196037,554,19,797
228577000,198808,554,19,819
228582000,201578,554,19,797
228587000,204348,554,19,802
228592000,207118,554,19,846
228597000,209888,554,19,858
228602000,212658,554,19,842
228607000,215427,554,19,849
228612000,218197,554,19,857
228617000,220966,554,19,862
228622000,223735,554,19,872
228627000,226504,554,19,874
228632000,229271,554,20,876
228637000,232040,554,20,859
228642000,234808,554,20,851
228647000,237577,554,20,804
228652000,240345,554,20,825
228657000,243113,554,20,847
228662000,245881,554,20,830
228667000,248648,554,20,838
228672000,251416,554,20,866
228677000,254183,554,20,830
228682000,256951,554,20,814
