G26,226800,226799.92824409774,2394,21597316.56413977,42.98101415550029,182.79539017294985,-85438.24653579426,5.50165620887145,2.519659080717247,-10.529200921392658,21682753.247883208,L1_L2,1.4192047735268716,-1.6168178023337803,969.6206062903289
G26,226810,226809.92826349987,2394,21591499.91521895,43.062515038599344,182.78388111182352,-85438.21054474177,5.494210085073277,2.6180544753588038,-10.529200921392658,21676936.627883215,L1_L2,1.3782751331455074,-1.6614231716323886,943.1198455387599
G26,226820,226819.92828287766,2394,21585690.61636473,43.14404695650436,182.77235627919592,-85438.2269043526,5.486912343658388,2.329321036100737,-10.529200921392658,21671127.027883213,L1_L2,1.342205439315876,-1.7005759752180203,919.8585409718149
G26,226830,226829.9283022311,2394,21579888.62261283,43.225610568137675,182.7608144597897,-85438.24326396339,5.479602672186481,2.382429125951603,-10.529200921392658,21665325.138797775,L1_L2,1.370094527490437,-1.6660771249676567,940.3548576947796
G26,226840,226839.92832156006,2394,21574093.954058588,43.30720580494056,182.74925534224727,-85438.25962357415,5.472281086128433,2.090211197384633,-10.529200921392658,21659530.18971232,L1_L2,1.3581000465637771,-1.6775604119882916,933.5324538729838
G26,226850,226849.92834086454,2394,21568306.630779978,43.38883259808314,182.73767861307627,-85438.27598318485,5.464947600982616,2.425499118195148,-10.529200921392658,21653743.189712323,L1_L2,1.3223976432782365,-1.7165184880740214,910.3868400169954
G26,226860,226859.92836014446,2394,21562526.6728376,43.4704908784614,182.72608395662974,-85438.29234279554,5.457602232275004,2.201124249419081,-10.529200921392658,21647963.040626884,L1_L2,1.3319244707236066,-1.7031925823447143,918.3039729784157
G26,226870,226869.92837939976,2394,21556754.100274507,43.552180576696514,182.71447105508636,-85438.30870240615,5.4502449955590615,1.7208320025820285,-10.529200921392658,21642189.971541435,L1_L2,1.2919775143818697,-1.7472504641337778,892.1284832812751
G26,226880,226879.92839863035,2394,21550988.93311603,43.63390162313315,182.70283958842896,-85438.32506201675,5.442875906415746,1.7647091523103882,-10.529200921392658,21636424.891541436,L1_L2,1.3115301437064772,-1.722296138318945,906.9542459312485
G26,226890,226889.92841783614,2394,21545231.1913697,43.715653947838064,182.69118923442542,-85438.3414216273,5.4354949804534645,1.878329533181386,-10.529200921392658,21630667.28245599,L1_L2,1.3068301070161397,-1.7255056877859816,905.0474014440555
G26,226900,226899.92843701714,2394,21539480.895025034,43.79743748059953,182.6795196686058,-85438.3577812378,5.428102233307969,1.9436084614717402,-10.529200921392658,21624917.04245599,L1_L2,1.2741434903873596,-1.7613579052931418,883.7470276659571
G26,226910,226909.92845617322,2394,21533738.064053476,43.87925215092398,182.66783056424327,-85438.37414084829,5.420697680642476,1.8333756019565044,-10.529200921392658,21619174.11337055,L1_L2,1.2624983034766046,-1.7727607929049065,876.9723904142523
