G26,225135.0003700921,225134.992,225134.992,-370088,514,225134.92513247798,2394,22641104.796857882,30.019476838337038,184.7525565284167,-85435.52266077847,6.537060908603221,-2509247.79672224,3.587155608343892,20217283.587762807,140159783.69649586,L1_L5,-2.3979727057740092,-5.2657999103757795,-1198.265718518
G26,225136.0003695781,225135.992,225135.992,-369574,514,225135.9251342106,2394,22640431.27562364,30.027023579731882,184.75138028129564,-85435.52429673923,6.536551112888638,-2509093.4159628144,3.587155608343892,20216764.21912692,140156182.85193458,L1_L5,-2.6282795290462673,-5.460594721364292,-1313.9964200641637
G26,225137.0003690641,225136.992,225136.992,-369060,514,225136.9251359431,2394,22639757.792414468,30.03457072370757,184.75020419579644,-85435.52593269997,6.536041175981733,-2508939.580331203,3.587155608343892,20216244.69935591,140152582.25489488,L1_L5,-2.5026188772171736,-5.355045172490475,-1251.2877509930543
G26,225138.0003685501,225137.992,225137.992,-368546,514,225137.92513767548,2394,22639084.347251575,30.042118270226755,184.74902827179648,-85435.52756866072,6.53553109789291,-2508785.586567782,3.587155608343892,20215725.58225673,140148981.86961088,L1_L5,-2.170464625582099,-5.0751297513671165,-1084.9855384453774
G26,225139.00036803613,225138.992,225138.992,-368032,514,225138.92513940777,2394,22638410.940156203,30.049666219252003,184.7478525091735,-85435.52920462146,6.535020878632581,-2508631.32381335,3.587155608343892,20215206.138825737,140145381.70897737,L1_L5,-2.4717008587904274,-5.32990397001315,-1236.350961939743
G26,225140.0003675211,225139.992,225139.992,-367517,514,225139.92514113887,2394,22637737.571150344,30.057214570737358,184.74667690780655,-85435.53084058221,6.534510518211737,-2508477.385365382,3.587155608343892,20214686.77212491,140141781.9372388,L1_L5,-2.40999011695385,-5.278261986036285,-1205.6696362691596
G26,225141.0003670071,225140.992,225140.992,-367003,514,225140.92514287087,2394,22637064.24025382,30.064763324660987,184.74550146757053,-85435.53247654297,6.5340000166397365,-2508323.2946442855,3.587155608343892,20214167.599498257,140138182.44671062,L1_L5,-2.344587804749608,-5.223477902682928,-1173.1215392850906
G26,225142.0003664931,225141.992,225141.992,-366489,514,225141.92514460272,2394,22636390.9474886,30.07231248097731,184.74432618834422,-85435.53411250371,6.53348937392755,-2508169.2483708956,3.587155608343892,20213648.23287277,140134583.12629104,L1_L5,-2.4668680634349585,-5.327250305160437,-1234.7743773607472
G26,225143.00036597913,225142.992,225142.992,-365975,514,225142.92514633448,2394,22635717.69287588,30.079862039649132,184.74315107000479,-85435.53574846445,6.532978590085583,-2508015.2960347557,3.587155608343892,20213128.815371465,140130983.948256,L1_L5,-2.5842395345680416,-5.42692089460108,-1293.9902629428614
G26,225144.00036546512,225143.992,225143.992,-365461,514,225143.92514806608,2394,22635044.476436976,30.08741200063812,184.74197611243002,-85435.5373844252,6.5324676651243205,-2507861.1784971394,3.587155608343892,20212609.884565294,140127384.81306973,L1_L5,-2.4182913033291698,-5.287138279613605,-1210.9431837400602
G26,225145.0003649521,225144.992,225144.992,-364948,514,225144.92514979857,2394,22634371.29819241,30.09496236391469,184.74080131549601,-85435.53902038594,6.531956599053655,-2507707.178681,3.587155608343892,20212090.78570763,140123785.60466564,L1_L5,-2.3408675682730973,-5.22214132953306,-1172.3274598765222
G26,225146.0003644381,225145.992,225145.992,-364434,514,225145.92515152993,2394,22633698.15816479,30.102513129425787,184.73962667908208,-85435.54065634668,6.5314453918850734,-2507552.992247209,3.587155608343892,20211571.836083237,140120186.42314994,L1_L5,-2.3390453006140888,-5.221051715203918,-1171.6801026389942
