message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,0,21656425.150968764,113805281.284023121,-1229.834960938,0,1,0,0,64500,42,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,1,22471093.354415618,118086392.227085948,-2025.849487305,0,2,0,0,0,23,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,2,20622382.902536795,108371391.800500348,2672.474121094,0,3,0,0,64500,47,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,3,21180736.203388076,111305508.633676931,-3572.900878906,0,25,0,0,64500,38,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,4,18424791.824678846,96822842.550577536,1972.451049805,0,26,0,0,12220,29,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,5,18836976.631308720,98988975.911727473,-1840.789550781,0,28,0,0,64500,47,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,6,17990849.933358230,94542562.124734640,-336.989715576,0,31,0,0,64500,51,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,7,23009442.038707040,120915627.354482695,1109.771240234,0,29,0,0,21960,30,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,8,19288747.990209006,101363104.254518211,-1331.441894531,0,32,0,0,9840,33,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,9,23268710.017639201,122277889.075753853,2286.586181641,0,4,0,0,26680,24,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,10,21656414.221129581,88679379.602285355,-958.537841797,0,1,3,0,64500,42,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,11,20622371.971022394,84445187.626030430,2082.532958984,0,3,3,0,64500,43,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,12,21180720.938914809,86731547.555415586,-2783.972412109,0,25,3,0,64500,29,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,13,18424697.523353178,75446055.524979621,1539.173828125,0,26,3,0,0,24,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,14,18836957.253749333,77134190.046752855,-1434.293945312,0,28,3,0,64500,46,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,15,17990830.493396863,73669452.783677012,-262.537872314,0,31,3,0,64500,45,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,16,19288720.562794372,78984103.637900516,-1036.338623047,0,32,3,0,29640,28,0,0,0,0
RAWX,2025-09-18T20:40:13.033086+00:00,0.000000000,2384,18,18,0,0,17,23268713.021449883,95281489.214566275,1776.012451172,0,4,3,0,0,21,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,0,21656659.201036982,113806511.649672404,-1230.708496094,0,1,0,0,64500,42,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,1,22471478.665763244,118088417.358214736,-2026.843994141,0,2,0,0,0,23,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,2,20621874.382530801,108368719.684082881,2671.646484375,0,3,0,0,64500,47,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,3,21181416.010962155,111309081.896364391,-3573.437744141,0,25,0,0,64500,38,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,4,18424420.883445930,96820870.773131996,1971.301269531,0,26,0,0,13220,30,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,5,18837326.920348544,98990816.843682393,-1841.177246094,0,28,0,0,64500,47,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,6,17990914.158535615,94542899.415506244,-337.642791748,0,31,0,0,64500,51,0,0,0,0
RAWX,2025-09-18T20:40:13.033935+00:00,0.000000000,2384,18,18,0,0,7,23009230.890862990,120914517.901310518,1109.360107422,0,29,0,0,22960,30,0,0,0,0
