iTOW,year,month,day,hour,min,sec,validDate,validTime,fullyResolved,tAcc,nano,fixType,psmState,headVehValid,carrSoln,confirmedAvai,confirmedDate,confirmedTime,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velD,gSpeed,headMot,sAcc,headAcc,pDOP,invalidL1h,lastCorrectionAge,authTime,nmaFixStatus,headVeh,magDec,magAcc,validMag,gnssFixOk,diffSolnOk,velE
384699000,2026,1,15,10,51,21,True,True,True,28,340606,3,0,False,0,True,True,True,13,-810795970,292278501,-16060,14371,2945,2769,1,18,15,0,280,18000000,185,False,0,False,False,0,0,0,True,True,False,15
384709000,2026,1,15,10,51,31,True,True,True,28,345194,3,0,False,0,True,True,True,13,-810795999,292278496,-15366,15065,2866,2697,-16,-12,16,0,210,18000000,185,False,0,False,False,0,0,0,True,True,False,2
384719000,2026,1,15,10,51,41,True,True,True,28,349782,3,0,False,0,True,True,True,13,-810796047,292278480,-14437,15994,2795,2690,29,-52,42,0,295,18000000,189,False,0,False,False,0,0,0,True,True,False,-31
384729000,2026,1,15,10,51,51,True,True,True,28,354373,3,0,False,0,True,True,True,13,-810796084,292278493,-13839,16593,2934,2857,9,-11,12,0,335,18000000,194,False,0,False,False,0,0,0,True,True,False,-7
384739000,2026,1,15,10,52,1,True,True,True,29,358967,3,0,False,0,True,True,True,12,-810796109,292278506,-13384,17047,2950,2908,-18,24,31,0,327,18000000,189,False,0,False,False,0,0,0,True,True,False,25
384749000,2026,1,15,10,52,11,True,True,True,29,363561,3,0,False,0,True,True,True,12,-810796152,292278544,-12800,17631,3073,2991,22,-40,34,0,346,18000000,189,False,0,False,False,0,0,0,True,True,False,-26
384759000,2026,1,15,10,52,21,True,True,True,29,368159,3,0,False,0,True,True,True,12,-810796163,292278547,-12671,17760,3110,3016,-15,14,29,0,320,18000000,189,False,0,False,False,0,0,0,True,True,False,25
384769000,2026,1,15,10,52,31,True,True,True,29,372761,3,0,False,0,True,True,True,14,-810796176,292278535,-12512,17919,3126,2975,-34,58,65,0,340,15216430,149,False,0,False,False,0,0,0,True,True,False,56
384779000,2026,1,15,10,52,41,True,True,True,29,377363,3,0,False,0,True,True,True,13,-810796207,292278544,-12142,18289,3176,2995,27,-45,42,0,361,18000000,156,False,0,False,False,0,0,0,True,True,False,-32
384789000,2026,1,15,10,52,51,True,True,True,29,381969,3,0,False,0,True,True,True,13,-810796201,292278544,-12559,17873,3207,2991,-38,61,64,0,345,14845282,153,False,0,False,False,0,0,0,True,True,False,51
384799000,2026,1,15,10,53,1,True,True,True,29,386576,3,0,False,0,True,True,True,14,-810796197,292278550,-12885,17546,3222,2984,5,8,10,0,243,18000000,191,False,0,False,False,0,0,0,True,True,False,8
384809000,2026,1,15,10,53,11,True,True,True,29,391186,3,0,False,0,True,True,True,14,-810796195,292278554,-13146,17285,3226,2994,-26,31,37,0,346,18000000,185,False,0,False,False,0,0,0,True,True,False,26
384819000,2026,1,15,10,53,21,True,True,True,29,395797,3,0,False,0,True,True,True,14,-810796167,292278543,-13497,16934,3206,2978,16,-13,23,0,328,18000000,185,False,0,False,False,0,0,0,True,True,False,-16
384829000,2026,1,15,10,53,31,True,True,True,29,400409,3,0,False,0,True,True,True,14,-810796151,292278536,-13586,16846,3183,2947,13,-12,13,0,270,18000000,147,False,0,False,False,0,0,0,True,True,False,1
384839000,2026,1,15,10,53,41,True,True,True,29,405021,3,0,False,0,True,True,True,14,-810796156,292278543,-13312,17120,3155,2914,17,-14,18,0,309,18000000,147,False,0,False,False,0,0,0,True,True,False,-7
384849000,2026,1,15,10,53,51,True,True,True,29,409636,3,0,False,0,True,True,True,14,-810796146,292278553,-13368,17064,3157,2886,25,-12,27,0,295,18000000,147,False,0,False,False,0,0,0,True,True,False,-12
384859000,2026,1,15,10,54,1,True,True,True,29,414254,3,0,False,0,True,True,True,14,-810796126,292278551,-13502,16930,3165,2880,35,-65,57,0,338,16597316,146,False,0,False,False,0,0,0,True,True,False,-45
384869000,2026,1,15,10,54,11,True,True,True,29,418875,3,0,False,0,True,True,True,15,-810796095,292278540,-13935,16497,3146,2881,-5,2,6,0,275,18000000,138,False,0,False,False,0,0,0,True,True,False,3
384879000,2026,1,15,10,54,21,True,True,True,29,423496,3,0,False,0,True,True,True,15,-810796058,292278520,-14675,15756,3101,2827,4,7,7,0,226,18000000,174,False,0,False,False,0,0,0,True,True,False,5
384889000,2026,1,15,10,54,31,True,True,True,28,428118,3,0,False,0,True,True,True,15,-810796044,292278517,-14870,15561,3076,2759,16,-16,18,0,287,18000000,138,False,0,False,False,0,0,0,True,True,False,-6
384899000,2026,1,15,10,54,41,True,True,True,28,432740,3,0,False,0,True,True,True,15,-810796042,292278512,-14728,15703,3063,2752,2,9,12,0,267,18000000,138,False,0,False,False,0,0,0,True,True,False,12
384909000,2026,1,15,10,54,51,True,True,True,28,437365,3,0,False,0,True,True,True,15,-810796039,292278506,-14635,15796,2990,2785,23,0,24,0,241,18000000,138,False,0,False,False,0,0,0,True,True,False,-5
384919000,2026,1,15,10,55,1,True,True,True,28,441988,3,0,False,0,True,True,True,14,-810796015,292278445,-14070,16362,2887,2774,11,-18,11,0,284,18000000,185,False,0,False,False,0,0,0,True,True,False,-3
384929000,2026,1,15,10,55,11,True,True,True,28,446615,3,0,False,0,True,True,True,14,-810796003,292278386,-13562,16869,2829,2687,6,-25,14,0,300,18000000,147,False,0,False,False,0,0,0,True,True,False,-13
384939000,2026,1,15,10,55,21,True,True,True,28,451244,3,0,False,0,True,True,True,12,-810795980,292278328,-13435,16997,2792,2634,10,-14,10,0,289,18000000,209,False,0,False,False,0,0,0,True,True,False,-4
384949000,2026,1,15,10,55,31,True,True,True,28,455876,3,0,False,0,True,True,True,15,-810795959,292278281,-13301,17130,2775,2616,-7,-2,7,0,232,18000000,174,False,0,False,False,0,0,0,True,True,False,2
384959000,2026,1,15,10,55,41,True,True,True,28,460506,3,0,False,0,True,True,True,14,-810795957,292278262,-12916,17515,2766,2603,8,-3,8,0,229,18000000,180,False,0,False,False,0,0,0,True,True,False,1
384969000,2026,1,15,10,55,51,True,True,True,28,465139,3,0,False,0,True,True,True,14,-810795953,292278238,-12483,17949,2771,2603,-2,5,6,0,288,18000000,180,False,0,False,False,0,0,0,True,True,False,6
384979000,2026,1,15,10,56,1,True,True,True,28,469771,3,0,False,0,True,True,True,14,-810795965,292278234,-12065,18366,2785,2613,11,5,11,0,220,18000000,143,False,0,False,False,0,0,0,True,True,False,0
384989000,2026,1,15,10,56,11,True,True,True,28,474404,3,0,False,0,True,True,True,15,-810795988,292278245,-11685,18746,2744,2573,13,-10,14,0,276,18000000,137,False,0,False,False,0,0,0,True,True,False,-6
384999000,2026,1,15,10,56,21,True,True,True,27,479039,3,0,False,0,True,True,True,14,-810796004,292278264,-11425,19006,2594,2427,3,-4,4,0,206,18000000,143,False,0,False,False,0,0,0,True,True,False,-3
385009000,2026,1,15,10,56,31,True,True,True,27,483675,3,0,False,0,True,True,True,16,-810796011,292278277,-11365,19066,2499,2334,7,-21,8,0,225,18000000,137,False,0,False,False,0,0,0,True,True,False,-4
385019000,2026,1,15,10,56,41,True,True,True,27,488313,3,0,False,0,True,True,True,15,-810796015,292278289,-11347,19084,2441,2280,7,-4,7,0,186,18000000,137,False,0,False,False,0,0,0,True,True,False,1
385029000,2026,1,15,10,56,51,True,True,True,27,492950,3,0,False,0,True,True,True,16,-810796024,292278313,-11211,19220,2463,2316,-2,-11,4,0,215,18000000,173,False,0,False,False,0,0,0,True,True,False,3
385039000,2026,1,15,10,57,1,True,True,True,27,497589,3,0,False,0,True,True,True,15,-810796027,292278332,-11277,19155,2529,2389,14,-11,22,0,288,18000000,180,False,0,False,False,0,0,0,True,True,False,-17
385049000,2026,1,15,10,57,11,True,True,True,28,-497768,3,0,False,0,True,True,True,15,-810796006,292278337,-11719,18712,2608,2471,-2,33,27,0,319,18000000,180,False,0,False,False,0,0,0,True,True,False,27
385059000,2026,1,15,10,57,21,True,True,True,27,-493129,3,0,False,0,True,True,True,13,-810796048,292278358,-11338,19094,2549,2403,6,-34,18,0,325,18000000,180,False,0,False,False,0,0,0,True,True,False,-17
385069000,2026,1,15,10,57,31,True,True,True,28,-488487,3,0,False,0,True,True,True,15,-810796019,292278346,-11732,18700,2678,2532,-31,40,47,0,334,18000000,173,False,0,False,False,0,0,0,True,True,False,35
385079000,2026,1,15,10,57,41,True,True,True,28,-483843,3,0,False,0,True,True,True,15,-810796001,292278347,-12049,18382,2738,2590,3,-12,3,0,297,18000000,173,False,0,False,False,0,0,0,True,True,False,-2
385089000,2026,1,15,10,57,51,True,True,True,27,-479203,3,0,False,0,True,True,True,15,-810796091,292278405,-10947,19485,2573,2400,26,-38,37,0,316,18000000,173,False,0,False,False,0,0,0,True,True,False,-26
385099000,2026,1,15,10,58,1,True,True,True,27,-474560,3,0,False,0,True,True,True,16,-810796153,292278440,-10372,20060,2515,2338,25,-11,27,0,287,18000000,150,False,0,False,False,0,0,0,True,True,False,-11
385109000,2026,1,15,10,58,11,True,True,True,27,-469918,3,0,False,0,True,True,True,16,-810796247,292278482,-9542,20890,2558,2388,24,-50,43,0,315,18000000,172,False,0,False,False,0,0,0,True,True,False,-36
385119000,2026,1,15,10,58,21,True,True,True,27,-465272,3,0,False,0,True,True,True,15,-810796314,292278498,-9142,21289,2569,2397,28,-49,46,0,314,18000000,172,False,0,False,False,0,0,0,True,True,False,-37
385129000,2026,1,15,10,58,31,True,True,True,27,-460624,3,0,False,0,True,True,True,16,-810796372,292278543,-8751,21681,2581,2395,-9,-5,11,0,211,18000000,150,False,0,False,False,0,0,0,True,True,False,7
385139000,2026,1,15,10,58,41,True,True,True,27,-455973,3,0,False,0,True,True,True,14,-810796397,292278559,-8771,21660,2601,2372,12,-1,12,0,234,18000000,173,False,0,False,False,0,0,0,True,True,False,-2
385149000,2026,1,15,10,58,51,True,True,True,27,-451321,3,0,False,0,True,True,True,15,-810796415,292278565,-8675,21756,2565,2275,-3,-11,3,0,219,18000000,173,False,0,False,False,0,0,0,True,True,False,1
385159000,2026,1,15,10,59,1,True,True,True,27,-446668,3,0,False,0,True,True,True,15,-810796402,292278559,-8776,21655,2600,2353,10,7,18,0,198,18000000,173,False,0,False,False,0,0,0,True,True,False,14
385169000,2026,1,15,10,59,11,True,True,True,28,-442012,3,0,False,0,True,True,True,16,-810796361,292278516,-9186,21245,2650,2462,-9,-1,10,0,199,18000000,148,False,0,False,False,0,0,0,True,True,False,-2
385179000,2026,1,15,10,59,21,True,True,True,27,-437358,3,0,False,0,True,True,True,16,-810796357,292278500,-9032,21400,2513,2347,10,-12,16,0,239,18000000,148,False,0,False,False,0,0,0,True,True,False,-13
385189000,2026,1,15,10,59,31,True,True,True,26,-432704,3,0,False,0,True,True,True,16,-810796360,292278478,-8928,21503,2373,2205,5,2,6,0,201,18000000,141,False,0,False,False,0,0,0,True,True,False,2
385199000,2026,1,15,10,59,41,True,True,True,26,-428046,3,0,False,0,True,True,True,17,-810796369,292278468,-8752,21679,2309,2137,22,-18,24,0,235,18000000,141,False,0,False,False,0,0,0,True,True,False,-11
385209000,2026,1,15,10,59,51,True,True,True,26,-423387,3,0,False,0,True,True,True,17,-810796366,292278454,-8863,21568,2280,2115,-4,-29,11,0,254,18000000,141,False,0,False,False,0,0,0,True,True,False,-10
385219000,2026,1,15,11,0,1,True,True,True,26,-418727,3,0,False,0,True,True,True,17,-810796351,292278440,-9122,21310,2274,2127,2,-15,12,0,272,18000000,142,False,0,False,False,0,0,0,True,True,False,-11
385229000,2026,1,15,11,0,11,True,True,True,26,-414065,3,0,False,0,True,True,True,17,-810796355,292278431,-9149,21282,2282,2158,-26,1,27,0,210,18000000,142,False,0,False,False,0,0,0,True,True,False,8
385239000,2026,1,15,11,0,21,True,True,True,26,-409404,3,0,False,0,True,True,True,17,-810796351,292278422,-9331,21101,2299,2182,19,-5,19,0,225,18000000,148,False,0,False,False,0,0,0,True,True,False,-3
385249000,2026,1,15,11,0,31,True,True,True,27,-404741,3,0,False,0,True,True,True,17,-810796343,292278415,-9501,20931,2407,2321,-6,-15,8,0,248,18000000,131,False,0,False,False,0,0,0,True,True,False,-5
385259000,2026,1,15,11,0,41,True,True,True,27,-400076,3,0,False,0,True,True,True,17,-810796314,292278404,-10002,20430,2534,2485,6,38,20,0,286,18000000,131,False,0,False,False,0,0,0,True,True,False,19
385269000,2026,1,15,11,0,51,True,True,True,28,-395411,3,0,False,0,True,True,True,16,-810796286,292278390,-10420,20012,2653,2651,6,-8,8,0,238,18000000,141,False,0,False,False,0,0,0,True,True,False,-5
385279000,2026,1,15,11,1,1,True,True,True,28,-390744,3,0,False,0,True,True,True,16,-810796248,292278367,-11064,19367,2692,2696,-8,15,23,0,242,18000000,141,False,0,False,False,0,0,0,True,True,False,22
385289000,2026,1,15,11,1,11,True,True,True,28,-386075,3,0,False,0,True,True,True,16,-810796206,292278347,-11815,18616,2761,2752,12,-12,13,0,256,18000000,160,False,0,False,False,0,0,0,True,True,False,-6
385299000,2026,1,15,11,1,21,True,True,True,29,-381405,3,0,False,0,True,True,True,16,-810796177,292278335,-12360,18071,2826,2807,-4,24,17,0,269,18000000,160,False,0,False,False,0,0,0,True,True,False,16
385309000,2026,1,15,11,1,31,True,True,True,29,-376735,3,0,False,0,True,True,True,15,-810796161,292278310,-12566,17865,2849,2846,-22,3,25,0,217,18000000,160,False,0,False,False,0,0,0,True,True,False,11
