iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
384699000,9,384699,340600,1377,18,True,True,True
384709000,9,384709,345188,1377,18,True,True,True
384719000,9,384719,349776,1377,18,True,True,True
384729000,9,384729,354367,1377,18,True,True,True
384739000,9,384739,358961,1377,18,True,True,True
384749000,10,384749,363555,1377,18,True,True,True
384759000,10,384759,368153,1377,18,True,True,True
384769000,10,384769,372756,1377,18,True,True,True
384779000,10,384779,377357,1377,18,True,True,True
384789000,10,384789,381963,1377,18,True,True,True
384799000,10,384799,386570,1377,18,True,True,True
384809000,10,384809,391180,1377,18,True,True,True
384819000,10,384819,395791,1377,18,True,True,True
384829000,10,384829,400403,1377,18,True,True,True
384839000,10,384839,405016,1377,18,True,True,True
384849000,10,384849,409631,1377,18,True,True,True
384859000,10,384859,414248,1377,18,True,True,True
384869000,10,384869,418870,1377,18,True,True,True
384879000,9,384879,423491,1377,18,True,True,True
384889000,9,384889,428112,1377,18,True,True,True
384899000,9,384899,432735,1377,18,True,True,True
384909000,9,384909,437359,1377,18,True,True,True
384919000,9,384919,441983,1377,18,True,True,True
384929000,9,384929,446609,1377,18,True,True,True
384939000,9,384939,451239,1377,18,True,True,True
384949000,9,384949,455870,1377,18,True,True,True
384959000,9,384959,460501,1377,18,True,True,True
384969000,9,384969,465133,1377,18,True,True,True
384979000,9,384979,469766,1377,18,True,True,True
384989000,9,384989,474399,1377,18,True,True,True
384999000,8,384999,479033,1377,18,True,True,True
385009000,8,385009,483669,1377,18,True,True,True
385019000,8,385019,488307,1377,18,True,True,True
385029000,8,385029,492945,1377,18,True,True,True
385039000,8,385039,497584,1377,18,True,True,True
385049000,8,385049,-497774,1377,18,True,True,True
385059000,8,385059,-493136,1377,18,True,True,True
385069000,8,385069,-488493,1377,18,True,True,True
385079000,9,385079,-483849,1377,18,True,True,True
385089000,8,385089,-479209,1377,18,True,True,True
385099000,8,385099,-474566,1377,18,True,True,True
385109000,8,385109,-469924,1377,18,True,True,True
385119000,8,385119,-465278,1377,18,True,True,True
385129000,8,385129,-460630,1377,18,True,True,True
385139000,8,385139,-455978,1377,18,True,True,True
385149000,7,385149,-451327,1377,18,True,True,True
385159000,8,385159,-446673,1377,18,True,True,True
385169000,8,385169,-442018,1377,18,True,True,True
385179000,8,385179,-437364,1377,18,True,True,True
385189000,7,385189,-432709,1377,18,True,True,True
385199000,7,385199,-428052,1377,18,True,True,True
385209000,7,385209,-423393,1377,18,True,True,True
385219000,7,385219,-418733,1377,18,True,True,True
385229000,7,385229,-414071,1377,18,True,True,True
385239000,7,385239,-409410,1377,18,True,True,True
385249000,7,385249,-404747,1377,18,True,True,True
385259000,8,385259,-400081,1377,18,True,True,True
385269000,9,385269,-395416,1377,18,True,True,True
385279000,9,385279,-390750,1377,18,True,True,True
385289000,9,385289,-386081,1377,18,True,True,True
385299000,9,385299,-381412,1377,18,True,True,True
385309000,9,385309,-376742,1377,18,True,True,True
385319000,9,385319,-372071,1377,18,True,True,True
385329000,10,385329,-367399,1377,18,True,True,True
385339000,10,385339,-362728,1377,18,True,True,True
