iTOW,clkB,clkD,tAcc,fAcc
384699000,-340608,-459,8,817
384709000,-345195,-459,8,826
384719000,-349783,-459,8,841
384729000,-354374,-459,8,972
384739000,-358968,-460,9,946
384749000,-363562,-460,9,981
384759000,-368161,-460,9,974
384769000,-372763,-460,9,972
384779000,-377364,-460,9,1023
384789000,-381970,-461,9,980
384799000,-386578,-461,9,1000
384809000,-391187,-461,9,996
384819000,-395798,-461,9,974
384829000,-400410,-461,9,972
384839000,-405023,-461,9,945
384849000,-409638,-462,9,937
384859000,-414256,-462,9,955
384869000,-418877,-462,9,982
384879000,-423498,-462,9,877
384889000,-428119,-462,8,867
384899000,-432742,-462,8,842
384909000,-437366,-463,8,843
384919000,-441990,-463,8,872
384929000,-446616,-463,8,848
384939000,-451246,-463,8,857
384949000,-455877,-463,8,849
384959000,-460508,-463,8,863
384969000,-465140,-463,8,868
384979000,-469773,-463,8,874
384989000,-474406,-463,8,820
384999000,-479040,-464,7,670
385009000,-483676,-464,7,662
385019000,-488314,-464,7,672
385029000,-492952,-464,7,833
385039000,-497591,-464,7,851
385049000,-502233,-464,8,933
385059000,-506871,-464,7,939
385069000,-511514,-464,8,941
385079000,-516157,-464,8,930
385089000,-520798,-464,7,890
385099000,-525440,-465,7,890
385109000,-530082,-465,7,888
385119000,-534728,-465,7,882
385129000,-539377,-465,7,875
385139000,-544028,-465,7,795
385149000,-548679,-465,7,777
385159000,-553333,-465,7,748
385169000,-557988,-465,8,703
385179000,-562642,-466,7,698
385189000,-567297,-466,6,708
385199000,-571954,-466,6,697
385209000,-576613,-466,6,691
385219000,-581273,-466,6,747
385229000,-585935,-466,6,718
385239000,-590596,-466,6,738
385249000,-595259,-466,7,717
385259000,-599925,-466,7,799
385269000,-604590,-466,8,731
385279000,-609256,-466,8,725
385289000,-613925,-467,8,756
385299000,-618594,-467,9,735
385309000,-623264,-467,9,741
385319000,-627935,-467,9,765
385329000,-632607,-467,9,786
385339000,-637279,-467,9,799
385349000,-641952,-467,9,790
385359000,-646626,-467,10,832
385369000,-651301,-468,10,839
385379000,-655977,-468,10,825
385389000,-660653,-468,10,840
385399000,-665329,-468,10,822
385409000,-670006,-468,10,765
385419000,-674686,-468,10,794
385429000,-679365,-468,11,789
385439000,-684046,-468,10,714
385449000,-688728,-468,10,753
385459000,-693409,-468,10,807
385469000,-698092,-468,10,803
385479000,-702778,-469,10,827
385489000,-707467,-469,10,808
385499000,-712157,-469,10,808
385509000,-716847,-469,9,816
385519000,-721537,-469,9,798
385529000,-726227,-469,9,807
385539000,-730919,-469,9,816
385549000,-735612,-469,9,831
385559000,-740304,-469,9,820
385569000,-744996,-469,9,830
385579000,-749690,-470,10,879
385589000,-754384,-470,9,766
385599000,-759077,-470,9,738
385609000,-763771,-470,9,796
385619000,-768452,-470,7,832
385629000,-773140,-470,6,732
385639000,-777838,-470,7,756
385649000,-782539,-470,7,722
385659000,-787240,-470,7,735
385669000,-791941,-470,8,799
385679000,-796645,-470,8,811
385689000,-801351,-470,8,804
385699000,-806056,-470,9,802
385709000,-810761,-470,9,826
385719000,-815467,-470,9,779
385729000,-820175,-471,9,800
385739000,-824883,-471,9,841
385749000,-829594,-471,9,778
385759000,-834305,-471,9,783
385769000,-839016,-471,9,816
385779000,-843727,-471,9,904
385789000,-848437,-471,9,824
385799000,-853147,-471,9,828
385809000,-857858,-471,9,938
385819000,-862572,-471,9,819
385829000,-867285,-471,9,832
385839000,-871999,-472,9,848
385849000,-876715,-472,9,844
385859000,-881432,-471,10,929
385869000,-886150,-472,10,918
385879000,-890865,-471,10,908
385889000,-895578,-472,10,924
385899000,-900294,-472,10,942
385909000,-905011,-472,11,915
385919000,-909729,-472,10,796
385929000,-914447,-472,10,747
385939000,-919167,-472,9,837
385949000,-923888,-472,9,742
385959000,-928607,-472,9,747
385969000,-933329,-472,9,733
385979000,-938051,-472,9,733
385989000,-942773,-472,8,749
385999000,-947494,-472,8,742
