iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
385659000,3,True,False,True,True,False,True,0,0,0,0,18571,1449561
385669000,3,True,False,True,True,False,True,0,0,0,0,18571,1459561
385679000,3,True,False,True,True,False,True,0,0,0,0,18571,1469561
385689000,3,True,False,True,True,False,True,0,0,0,0,18571,1479561
385699000,3,True,False,True,True,False,True,0,0,0,0,18571,1489561
385709000,3,True,False,True,True,False,True,0,0,0,0,18571,1499561
385719000,3,True,False,True,True,False,True,0,0,0,0,18571,1509561
385729000,3,True,False,True,True,False,True,0,0,0,0,18571,1519561
385739000,3,True,False,True,True,False,True,0,0,0,0,18571,1529561
385749000,3,True,False,True,True,False,True,0,0,0,0,18571,1539561
385759000,3,True,False,True,True,False,True,0,0,0,0,18571,1549561
385769000,3,True,False,True,True,False,True,0,0,0,0,18571,1559561
385779000,3,True,False,True,True,False,True,0,0,0,0,18571,1569561
385789000,3,True,False,True,True,False,True,0,0,0,0,18571,1579561
385799000,3,True,False,True,True,False,True,0,0,0,0,18571,1589561
385809000,3,True,False,True,True,False,True,0,0,0,0,18571,1599561
385819000,3,True,False,True,True,False,True,0,0,0,0,18571,1609561
385829000,3,True,False,True,True,False,True,0,0,0,0,18571,1619561
385839000,3,True,False,True,True,False,True,0,0,0,0,18571,1629561
385849000,3,True,False,True,True,False,True,0,0,0,0,18571,1639561
385859000,3,True,False,True,True,False,True,0,0,0,0,18571,1649561
385869000,3,True,False,True,True,False,True,0,0,0,0,18571,1659561
385879000,3,True,False,True,True,False,True,0,0,0,0,18571,1669561
385889000,3,True,False,True,True,False,True,0,0,0,0,18571,1679561
385899000,3,True,False,True,True,False,True,0,0,0,0,18571,1689561
385909000,3,True,False,True,True,False,True,0,0,0,0,18571,1699561
385919000,3,True,False,True,True,False,True,0,0,0,0,18571,1709561
385929000,3,True,False,True,True,False,True,0,0,0,0,18571,1719561
385939000,3,True,False,True,True,False,True,0,0,0,0,18571,1729561
385949000,3,True,False,True,True,False,True,0,0,0,0,18571,1739561
385959000,3,True,False,True,True,False,True,0,0,0,0,18571,1749561
385969000,3,True,False,True,True,False,True,0,0,0,0,18571,1759561
385979000,3,True,False,True,True,False,True,0,0,0,0,18571,1769561
385989000,3,True,False,True,True,False,True,0,0,0,0,18571,1779561
385999000,3,True,False,True,True,False,True,0,0,0,0,18571,1789561
