iTOW,numSigs,gnssId,svId,freqId,prRes,cno,qualityInd,corrSource,ionoModel,health,prSmoothed,prUsed,crUsed,doUsed,prCorrUsed,crCorrUsed,doCorrUsed,authStatus,sigId
384709000,57,0,10,0,14592,0,1,0,0,0,True,False,False,True,True,False,False,True,7
384709000,57,0,12,0,14592,34,7,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,0,12,0,14592,15,4,0,0,0,True,False,True,False,True,False,True,False,3
384709000,57,0,12,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384709000,57,0,23,0,14592,24,4,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,0,23,0,14592,0,1,0,0,0,True,False,True,False,True,False,True,False,4
384709000,57,0,23,0,14592,22,4,0,0,0,False,False,False,False,False,False,False,False,7
384709000,57,0,25,0,14592,21,4,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,0,25,0,14592,17,4,0,1,0,True,False,True,False,True,False,True,False,3
384709000,57,0,25,0,14592,30,7,0,0,0,True,False,False,True,True,False,False,True,7
384709000,57,0,28,0,14592,43,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,0,28,0,14592,40,7,0,1,0,True,False,True,False,True,True,True,True,3
384709000,57,0,28,0,14592,43,7,0,0,0,True,False,False,True,True,False,False,True,7
384709000,57,0,31,0,14592,34,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,0,31,0,14592,19,4,0,1,0,True,False,True,False,True,True,True,True,3
384709000,57,0,31,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384709000,57,0,32,0,14592,40,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,0,32,0,14592,44,7,0,1,0,True,False,True,False,True,True,True,True,3
384709000,57,0,32,0,14592,43,7,0,0,0,True,False,False,True,True,False,False,True,7
384709000,57,2,7,0,14592,20,4,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,2,7,0,14592,0,3,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,7,0,14592,20,4,0,0,0,True,False,True,False,True,False,True,False,4
384709000,57,2,10,0,14592,0,1,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,2,10,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,10,0,14592,0,1,0,0,0,True,False,False,True,True,False,False,True,4
384709000,57,2,12,0,14592,36,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,2,12,0,14592,40,7,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,12,0,14592,36,7,0,1,0,True,False,True,False,True,True,True,True,4
384709000,57,2,19,0,14592,39,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,2,19,0,14592,36,7,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,19,0,14592,40,7,0,1,0,True,False,True,False,True,True,True,True,4
384709000,57,2,21,0,14592,0,1,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,2,21,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,21,0,14592,14,4,0,0,0,True,False,False,True,True,False,False,True,4
384709000,57,2,26,0,14592,19,3,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,2,26,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,26,0,14592,19,4,0,0,0,True,False,False,True,True,False,False,True,4
384709000,57,2,27,0,14592,28,4,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,2,27,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,27,0,14592,23,4,0,1,0,True,False,True,False,True,True,True,True,4
384709000,57,2,29,0,14592,49,7,0,1,0,True,False,True,False,True,True,True,True,0
384709000,57,2,29,0,14592,51,7,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,29,0,14592,51,7,0,1,0,True,False,True,False,True,True,True,True,4
384709000,57,2,30,0,14592,19,4,0,0,0,True,False,True,False,True,False,True,False,0
384709000,57,2,30,0,14592,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384709000,57,2,30,0,14592,19,4,0,0,0,True,False,False,True,True,False,False,True,4
384709000,57,2,33,0,14592,41,7,0,1,0,True,False,True,False,True,True,True,True,0
