rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
391544.991,2383,18,27,18498260.519141994,75747285.64964743,-1491.596435546875,0,5,0,2000,46,,,
391544.991,2383,18,27,18040548.04026382,73873032.56915455,316.19873046875,0,29,0,2000,42,,,
391544.991,2383,18,27,21247301.713446125,87004144.07053132,1401.1903076171875,0,23,0,2080,39,,,
391544.991,2383,18,27,21440796.254264724,87796476.79344112,1817.681884765625,0,18,0,2080,48,,,
391544.991,2383,18,27,20961697.710803706,86968230.98027705,-3476.7353515625,6,255,2,2100,44,,,
391544.991,2383,18,27,16972931.99854642,70468737.05944224,667.838134765625,6,22,4,2080,43,,,
391544.991,2383,18,27,16770249.482390847,69823006.56923875,-1499.8790283203125,6,7,12,2120,43,,,
391544.991,2383,18,27,17439379.279541384,72634380.53430377,1531.4437255859375,6,8,13,2080,40,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,,,,,,,,,,,
391545.991,2383,18,27,16972764.443370506,90601780.47324109,858.4940185546875,6,22,4,3140,48,,,
391545.991,2383,18,27,19144061.849755056,102407811.2623577,2929.1962890625,6,23,10,3080,48,,,
391545.991,2383,18,27,16770606.261445852,89774333.65448292,-1928.9918212890625,6,7,12,3120,44,,,
391545.991,2383,18,27,17439005.685456563,93385091.45267467,1968.482177734375,6,8,13,3080,43,,,
391545.991,2383,18,27,20962526.159890898,111820739.04210183,-4470.0029296875,6,255,2,3100,43,,,
391545.991,2383,18,27,18040471.630786,94803317.92390797,405.1269226074219,0,29,0,320,46,,,
391545.991,2383,18,27,24069188.27471207,126484436.54988006,-2151.803466796875,2,30,0,1780,31,,,
391545.991,2383,18,27,18498625.742357362,97210933.91281407,-1914.3876953125,0,5,0,320,50,,,
391545.991,2383,18,27,25391701.62552845,102241862.61348116,-340.687744140625,2,27,0,3120,44,,,
391545.991,2383,18,27,24069183.682722174,96916629.8802236,-1648.39404296875,2,30,0,1240,27,,,
391545.991,2383,18,27,18498624.682849944,75748777.25194329,-1491.76806640625,0,5,0,3000,46,,,
391545.991,2383,18,27,18040470.35454688,73872716.59660928,315.4541320800781,0,29,0,3000,42,,,
391545.991,2383,18,27,21246959.851814456,87002742.9556361,1401.251220703125,0,23,0,3080,39,,,
391545.991,2383,18,27,21440352.566773497,87794659.04786424,1817.712890625,0,18,0,3080,48,,,
391545.991,2383,18,27,20962535.362716928,86971707.52279301,-3476.48291015625,6,255,2,3100,44,,,
391545.991,2383,18,27,16972771.52913612,70468069.09497137,667.8173828125,6,22,4,3080,43,,,
391545.991,2383,18,27,16770609.052224275,69824506.60150634,-1500.3184814453125,6,7,12,3120,43,,,
391545.991,2383,18,27,17439014.180641364,72632849.2905952,1530.9468994140625,6,8,13,3080,40,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,,,,,,,,,,,
391546.991,2383,18,27,16972602.840254463,90600922.28048792,857.8538818359375,6,22,4,4140,48,,,
391546.991,2383,18,27,19143516.021881547,102404882.24691595,2928.867431640625,6,23,10,4080,49,,,
391546.991,2383,18,27,16770966.223839378,89776263.17637001,-1930.18896484375,6,7,12,4120,44,,,
391546.991,2383,18,27,17438639.77100317,93383123.58993164,1967.3170166015625,6,8,13,4080,43,,,
391546.991,2383,18,27,20963365.853968203,111825209.10895602,-4470.240234375,6,255,2,4100,43,,,
391546.991,2383,18,27,18040395.024958335,94802915.22861025,404.33349609375,0,29,0,120,46,,,
391546.991,2383,18,27,24069599.330226324,126486588.0465734,-2151.329345703125,2,30,0,2780,31,,,
391546.991,2383,18,27,18498989.233184915,97212844.47384293,-1914.767333984375,0,5,0,120,50,,,
391546.991,2383,18,27,25391786.967912335,102242203.35924901,-341.05078125,2,27,0,4120,44,,,
391546.991,2383,18,27,24069593.91284113,96918278.3743922,-1648.0872802734375,2,30,0,2240,28,,,
391546.991,2383,18,27,18498988.75169851,75750269.10693912,-1491.886474609375,0,5,0,4000,46,,,
391546.991,2383,18,27,18040393.43224206,73872401.24931471,314.83154296875,0,29,0,4000,42,,,
391546.991,2383,18,27,21246615.889246374,87001342.09405686,1400.927734375,0,23,0,4080,39,,,
391546.991,2383,18,27,21439908.706734516,87792841.3759913,1817.529541015625,0,18,0,4080,48,,,
391546.991,2383,18,27,20963371.612470254,86975184.24306916,-3476.76416015625,6,255,2,4100,44,,,
391546.991,2383,18,27,16972610.88571225,70467401.61871111,667.178955078125,6,22,4,4080,43,,,
391546.991,2383,18,27,16770968.92073563,69826007.33411898,-1501.1690673828125,6,7,12,4120,43,,,
391546.991,2383,18,27,17438648.93425211,72631318.72929217,1530.1357421875,6,8,13,4080,40,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,,,,,,,,,,,
391547.991,2383,18,27,16972442.2535089,90600064.58008616,857.2105712890625,6,22,4,5140,48,,,
391547.991,2383,18,27,19142967.058413308,102401953.32080653,2928.642333984375,6,23,10,5080,49,,,
391547.991,2383,18,27,16771326.64998989,89778193.40360072,-1930.8740234375,6,7,12,5120,44,,,
391547.991,2383,18,27,17438272.03286242,93381156.45558858,1966.3355712890625,6,8,13,5080,43,,,
391547.991,2383,18,27,20964202.38767147,111829679.23362006,-4470.63525390625,6,255,2,5100,43,,,
391547.991,2383,18,27,18040318.154724963,94802511.20922133,403.4667663574219,0,29,0,520,46,,,
391547.991,2383,18,27,24070007.234231256,126488739.8321273,-2152.12109375,2,30,0,3780,31,,,
391547.991,2383,18,27,18499354.793747894,97214765.22826487,-1915.082763671875,0,5,0,520,50,,,
391547.991,2383,18,27,25391871.03873375,102242544.43894088,-341.4384765625,2,27,0,5120,44,,,
391547.991,2383,18,27,24070001.999514937,96919927.18966863,-1649.08447265625,2,30,0,3240,27,,,
391547.991,2383,18,27,18499353.750224873,75751761.13564372,-1492.3681640625,0,5,0,5000,46,,,
