rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84173.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84174.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84175.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84176.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84177.004,2384,18,9,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,,,,,,,,,,,
84178.004,2384,18,10,23686063.479995336,96990444.1856791,-2474.842041015625,0,26,0,21000,34,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,,,,,,,,,,,
84179.004,2384,18,10,23686668.191883586,96992919.25968428,-2475.113037109375,0,26,0,22000,34,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,,,,,,,,,,,
84180.004,2384,18,10,23687273.062080216,96995394.25848389,-2474.552001953125,0,26,0,23000,34,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,,,,,,,,,,,
84181.004,2384,18,10,23687877.821293455,96997869.27758752,-2475.322998046875,0,26,0,24000,34,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,,,,,,,,,,,
84182.004,2384,18,10,23688482.678227916,97000344.46420962,-2475.406494140625,0,26,0,25000,34,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,,,,,,,,,,,
84183.004,2384,18,10,23689087.47680885,97002819.87727316,-2475.803466796875,0,26,0,26000,34,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,,,,,,,,,,,
84184.004,2384,18,10,23689692.254589126,97005295.24712227,-2475.541015625,0,26,0,27000,34,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84185.004,2384,18,9,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,,,,,,,,,,,
84186.004,2384,18,10,23690901.476920314,97010245.44966768,-2474.97998046875,0,26,0,29000,33,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,,,,,,,,,,,
84187.004,2384,18,10,23691505.946878746,97012720.10658689,-2474.08154296875,0,26,0,30000,34,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,,,,,,,,,,,
84188.004,2384,18,10,23692110.557695337,97015194.8343249,-2474.957275390625,0,26,0,31000,34,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,,,,,,,,,,,
84189.004,2384,18,10,23692715.190010596,97017669.80584897,-2475.31201171875,0,26,0,32000,34,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,,,,,,,,,,,
84190.004,2384,18,10,23693319.897431593,97020144.73187147,-2475.275390625,0,26,0,33000,34,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,,,,,,,,,,,
84191.004,2384,18,10,23693924.59089241,97022619.7442653,-2474.927978515625,0,26,0,34000,34,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,,,,,,,,,,,
84192.004,2384,18,10,23694529.37230233,97025094.8698429,-2475.110595703125,0,26,0,35000,34,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
84193.004,2384,18,10,,,,,,,,,,,
