message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,,0.000000000,2384,18,13,0,0,0,22422043.780943472,117828634.745995760,-2349.585693359,0,3,0,0,0,20,10,15,12,1
RAWX,,0.000000000,2384,18,13,0,0,1,21404633.696049295,112482134.850603178,1831.607055664,0,4,0,0,64500,51,3,1,4,7
RAWX,,0.000000000,2384,18,13,0,0,2,20115380.690308414,105707049.805009544,-336.943817139,0,16,0,0,64500,31,6,5,8,7
RAWX,,0.000000000,2384,18,13,0,0,3,22523871.992372949,118363704.819640785,-2029.589843750,0,31,0,0,15200,27,8,7,8,15
RAWX,,0.000000000,2384,18,13,0,0,4,21669534.360266767,113874154.192583665,-2775.219726562,0,26,0,0,64500,40,4,2,7,7
RAWX,,0.000000000,2384,18,13,0,0,5,24708707.916288108,129845136.345633253,-2375.499755859,0,28,0,0,0,24,10,15,12,1
RAWX,,0.000000000,2384,18,13,0,0,6,24153852.643296987,126929280.675635591,3105.432128906,0,9,0,0,64500,46,3,1,6,7
RAWX,,0.000000000,2384,18,13,0,0,7,21404615.767206986,87648355.626683265,1427.067382812,0,4,3,0,64500,46,3,1,5,7
RAWX,,0.000000000,2384,18,13,0,0,8,21669519.137255218,88733003.753981009,-2162.781982422,0,26,3,0,64500,36,5,3,8,7
RAWX,,0.000000000,2384,18,13,0,0,9,24165779.602227751,98954827.427877784,2632.566894531,0,8,3,0,0,18,10,15,13,1
RAWX,,0.000000000,2384,18,13,0,0,10,22422039.625558022,91814495.130805612,-1831.825317383,0,3,3,0,2580,27,8,8,8,7
RAWX,,0.000000000,2384,18,13,0,0,11,22530399.568379693,92258218.918773085,2191.318847656,0,27,3,0,0,11,9,15,12,1
RAWX,,0.000000000,2384,18,13,0,0,12,24153840.126744408,98905986.760083929,2420.007324219,0,9,3,0,64500,42,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,0,22422493.029400289,117830996.125401065,-2356.290527344,0,3,0,0,0,21,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,1,21404285.125855919,112480303.299224496,1831.459838867,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,2,20115444.816577967,105707386.971773133,-337.395019531,0,16,0,0,64500,31,6,5,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,3,22524259.448561735,118365734.250079274,-2029.486572266,0,31,0,0,16200,27,8,6,8,15
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,4,21670062.418374151,113876929.811771616,-2775.657714844,0,26,0,0,64500,40,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,5,24709166.490280885,129847545.639153704,-2386.172119141,0,28,0,0,0,24,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,6,24153261.582923476,126926175.214072302,3105.645751953,0,9,0,0,64500,46,3,1,5,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,7,21404267.203086283,87646928.440093458,1427.119873047,0,4,3,0,64500,46,3,1,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,8,21670047.294340238,88735166.543793112,-2162.661132812,0,26,3,0,64500,36,5,3,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,9,24165136.821642488,98952195.392478108,2642.702148438,0,8,3,0,0,19,9,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,10,22422487.834261063,91816327.202006072,-1832.351318359,0,3,3,0,3580,27,8,8,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,11,24153249.169676185,98903566.927848473,2420.038085938,0,9,3,0,64500,42,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,0,22422940.379971422,117833346.145157188,-2350.104248047,0,3,0,0,0,21,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,1,21403936.757107858,112478471.913302884,1830.957275391,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,2,20115509.134520713,105707724.525975883,-337.515869141,0,16,0,0,64500,31,6,5,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,3,22524645.580907203,118367763.585340515,-2029.561889648,0,31,0,0,17200,27,8,6,8,15
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,4,21670590.605473544,113879705.477731794,-2776.385498047,0,26,0,0,64500,40,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,5,24709623.804926351,129849948.518940628,-2387.090087891,0,28,0,0,0,25,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,6,24152670.542652614,126923069.605294123,3105.511230469,0,9,0,0,64500,46,3,1,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,7,21403918.733755168,87645501.378530875,1426.848388672,0,4,3,0,64500,46,3,1,5,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,8,21670575.470690295,88737329.406560153,-2163.266601562,0,26,3,0,64500,36,5,3,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,9,24164494.989790663,98949567.247422814,2631.314697266,0,8,3,0,0,19,9,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,10,22422935.179666936,91818159.395038113,-1832.333984375,0,3,3,0,4580,28,8,8,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,11,24152658.195157748,98901146.971616820,2419.934082031,0,9,3,0,64500,42,3,2,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,0,22423388.787327744,117835702.821623355,-2356.189453125,0,3,0,0,0,22,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,1,21403588.398201719,112476640.931488901,1830.689575195,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,2,20115573.551231690,105708062.785791740,-339.164306641,0,16,0,0,64500,31,6,5,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,3,22525033.379120257,118369793.003532961,-2029.394531250,0,31,0,0,18200,27,8,6,8,15
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,4,21671118.840316735,113882481.428099617,-2776.169433594,0,26,0,0,64500,41,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,5,24710080.172932401,129852347.679175884,-2390.270751953,0,28,0,0,0,25,9,15,10,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,6,24152079.564644132,126919964.124472633,3105.297851562,0,9,0,0,64500,46,3,1,5,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,7,21403570.407306433,87644074.647839099,1426.449707031,0,4,3,0,64500,46,3,1,5,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,8,21671103.704835478,88739492.485226691,-2163.626708984,0,26,3,0,64500,36,5,3,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,9,24163852.923966318,98946938.091191649,2639.864257812,0,8,3,0,0,20,9,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,10,22423383.809688035,91819991.990849778,-1832.898193359,0,3,3,0,5580,27,8,7,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,11,24152067.295605443,98898727.125930741,2419.653320312,0,9,3,0,64500,42,4,2,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,0,22423837.186168358,117838058.924093768,-2350.951660156,0,3,0,0,0,22,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,1,21403239.986595921,112474810.209045470,1830.608886719,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,2,20115638.214200139,105708401.464879230,-338.306121826,0,16,0,0,64500,31,6,5,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,3,22525420.781981178,118371822.447828725,-2029.092163086,0,31,0,0,19200,27,8,6,8,15
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,4,21671647.101125848,113885257.524874449,-2776.020507812,0,26,0,0,64500,41,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,5,24710537.031917781,129854748.111791909,-2389.614501953,0,28,0,0,0,25,8,15,10,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,6,24151488.672630321,126916858.593410805,3105.547851562,0,9,0,0,64500,46,3,1,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,7,21403222.076739445,87642648.106938258,1426.547363281,0,4,3,0,64500,46,3,1,5,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,8,21671631.909943495,88741655.656303942,-2162.753906250,0,26,3,0,64500,36,5,3,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,9,24163212.241595235,98944314.796454191,2634.571044922,0,8,3,0,0,21,9,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,10,22423831.449513979,91821824.860391364,-1832.568969727,0,3,3,0,6580,28,8,6,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,11,24151476.439469278,98896307.236693576,2419.946289062,0,9,3,0,64500,42,4,2,6,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,0,22424281.560430355,117840394.839563683,-2352.321777344,0,3,0,0,0,23,10,15,12,1
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,1,21402891.661682803,112472979.667338192,1830.395507812,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,2,20115702.723606672,105708740.597259372,-338.403076172,0,16,0,0,64500,31,6,5,8,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,3,22525809.194232494,118373851.751602262,-2029.075805664,0,31,0,0,20200,27,8,7,8,15
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,4,21672175.409818359,113888033.718950346,-2776.296386719,0,26,0,0,64500,41,4,2,7,7
RAWX,2025-09-18T22:31:00+00:00,0.000000000,2384,18,12,0,0,5,24710994.339303952,129857151.289834097,-2388.901367188,0,28,0,0,0,25,8,15,10,1
