timestamp_utc,iTOW,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,pAcc,invalidEcef,ecefX_full_m,ecefY_full_m,ecefZ_full_m
2025-09-28T23:03:22.000314+00:00,83025000,86378321,-550317577,309596199,-2,20,32,51778,False,863783.2098,-5503175.767999999,3095961.9932000004
2025-09-28T23:03:27.000315+00:00,83030000,86378321,-550317575,309596219,-19,-7,39,51029,False,863783.2080999999,-5503175.7507,3095962.1939
2025-09-28T23:03:32.000316+00:00,83035000,86378333,-550317570,309596184,40,-9,-23,52624,False,863783.3339999999,-5503175.7009000005,3095961.8377
2025-09-28T23:03:37.000317+00:00,83040000,86378346,-550317564,309596150,44,14,23,54051,False,863783.4643999999,-5503175.638599999,3095961.5023
2025-09-28T23:03:42.000318+00:00,83045000,86378353,-550317567,309596131,31,-29,45,55313,False,863783.5331,-5503175.6729,3095961.3145
2025-09-28T23:03:47.000319+00:00,83050000,86378355,-550317578,309596120,42,-45,-29,56607,False,863783.5542,-5503175.7845,3095961.1971
2025-09-28T23:03:52.000320+00:00,83055000,86378357,-550317583,309596114,21,-13,0,57827,False,863783.5721,-5503175.8313,3095961.14
2025-09-28T23:03:57.000320+00:00,83060000,86378359,-550317580,309596107,-4,-39,30,58841,False,863783.5896,-5503175.8039,3095961.073
2025-09-28T23:04:02.000321+00:00,83065000,86378362,-550317565,309596094,3,-49,2,59791,False,863783.6203,-5503175.6549,3095960.9402
2025-09-28T23:04:07.000322+00:00,83070000,86378367,-550317546,309596072,6,-28,49,60650,False,863783.6706000001,-5503175.4628,3095960.7249000003
2025-09-28T23:04:12.000323+00:00,83075000,86378368,-550317530,309596059,25,-12,45,61431,False,863783.6825,-5503175.3012,3095960.5944999997
2025-09-28T23:04:17.000324+00:00,83080000,86378367,-550317511,309596051,7,32,27,62140,False,863783.6707,-5503175.1068,3095960.5127
2025-09-28T23:04:22.000325+00:00,83085000,86378366,-550317490,309596041,-16,34,-4,62764,False,863783.6584000001,-5503174.896600001,3095960.4096000004
2025-09-28T23:04:27.000326+00:00,83090000,86378363,-550317467,309596036,-11,45,9,63406,False,863783.6289,-5503174.6655,3095960.3608999997
2025-09-28T23:04:32.000327+00:00,83095000,86378353,-550317454,309596046,17,-43,-29,64020,False,863783.5317,-5503174.5443,3095960.4570999998
2025-09-28T23:04:37.000328+00:00,83100000,86378340,-550317445,309596062,28,41,35,64485,False,863783.4028,-5503174.445900001,3095960.6235
2025-09-28T23:04:42.000329+00:00,83105000,86378328,-550317436,309596079,42,38,-28,64758,False,863783.2842,-5503174.3562,3095960.7872
2025-09-28T23:04:47.000330+00:00,83110000,86378309,-550317432,309596126,11,-1,-36,64786,False,863783.0911,-5503174.3201,3095961.2564
2025-09-28T23:04:52.000331+00:00,83115000,86378295,-550317428,309596147,12,-8,-15,64814,False,863782.9512,-5503174.2808,3095961.4685000004
2025-09-28T23:04:57.000332+00:00,83120000,86378284,-550317418,309596164,24,-14,31,65076,False,863782.8424,-5503174.1814,3095961.6431
2025-09-28T23:05:02.000333+00:00,83125000,86378259,-550317426,309596211,33,33,4,65391,False,863782.5933,-5503174.2567,3095962.1103999997
2025-09-28T23:05:07.000334+00:00,83130000,86378256,-550317415,309596201,42,11,-13,66813,False,863782.5642,-5503174.1489,3095962.0086999997
2025-09-28T23:05:12.000335+00:00,83135000,86378248,-550317415,309596219,-8,31,-18,68393,False,863782.4792,-5503174.1469,3095962.1881999997
2025-09-28T23:05:17.000336+00:00,83140000,86378238,-550317420,309596235,18,0,49,69742,False,863782.3818,-5503174.2,3095962.3549
