message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,15,21319760.6230696,114126346.974488,1162.187744141,6,3,0,12,3000,50,5,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,16,22893883.9714599,92184184.0613424,-74.706542969,2,3,6,0,3000,43,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,17,22513088.4990951,90650878.1571568,-1587.921875,2,5,6,0,3000,44,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,18,23786109.6989913,95776806.4642614,1130.068603516,2,15,6,0,3000,50,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,19,21711220.3681965,88903817.8004187,1426.052246094,0,10,3,0,3000,43,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,20,19830247.474089,81201546.9828546,157.678237915,0,23,3,0,3000,42,4,2,6,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,21,23892302.5738192,97834984.1110139,-987.049377441,0,27,3,0,3000,40,4,2,7,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,22,21618577.4854644,88524461.8198158,987.062316895,0,32,3,0,3000,41,4,2,7,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,0,21710522.829177,114089565.524284,1829.533691406,0,10,0,0,5000,52,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,1,19830170.748134,104208247.681568,200.885009766,0,23,0,0,5000,43,3,1,6,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,2,23892778.2159398,125557396.565091,-1267.881591797,0,27,0,0,5000,41,4,2,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,3,21618090.5198277,113603830.980964,1265.80859375,0,32,0,0,5000,45,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,4,22893918.4315915,120308353.046274,-98.523925781,2,3,0,0,5000,44,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,5,22513870.3092645,118311186.256412,-2072.963867188,2,5,0,0,5000,43,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,6,23617223.3126959,122981077.667043,1130.363769531,3,20,0,0,5000,51,3,1,4,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,7,23759627.20283,123722614.041804,837.332763672,3,29,0,0,5000,45,3,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,8,21956894.8184846,114335311.77988,-612.455810547,3,32,0,0,5000,52,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,9,19835379.146452,105845383.670074,-1034.9609375,6,2,0,3,5000,51,5,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,10,21053270.9961204,112383789.631187,2572.87109375,6,18,0,4,5000,50,5,1,5,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,11,21763808.9116485,116340030.553387,-2406.706542969,6,1,0,8,0,26,9,15,10,1
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,12,20870805.0068037,111605564.849561,-4269.826171875,6,24,0,9,5000,31,7,5,8,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,13,18962285.9491921,101471020.921757,-874.565673828,6,17,0,11,5000,43,5,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,14,23785541.3525192,124993864.038272,1473.74609375,2,15,0,0,5000,45,3,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,15,21319326.6129107,114124023.199831,1161.274658203,6,3,0,12,5000,50,5,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,16,22893921.2290708,92184333.9305877,-75.596923828,2,3,6,0,5000,43,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,17,22513877.1242726,90654054.0674929,-1588.379882812,2,5,6,0,5000,44,3,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,18,23785548.5610646,95774546.8566414,1129.254394531,2,15,6,0,5000,50,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,19,21710523.8575532,88900965.7340626,1425.599487305,0,10,3,0,5000,44,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,20,19830170.7558121,81201232.559711,156.726074219,0,23,3,0,5000,42,4,2,6,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,21,23892784.8708944,97836958.7866245,-987.755859375,0,27,3,0,5000,40,4,2,7,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,22,21618095.2263609,88522488.1713522,986.365966797,0,32,3,0,5000,41,4,2,7,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,0,21710174.7746724,114087735.742331,1829.683105469,0,10,0,0,6000,52,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,1,19830132.522385,104208046.561701,200.885009766,0,23,0,0,6000,43,3,1,6,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,2,23893019.5512645,125558664.569686,-1268.252929688,0,27,0,0,6000,41,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,3,21617849.7608488,113602565.25706,1265.439941406,0,32,0,0,6000,45,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,4,22893937.1197975,120308451.505519,-98.787101746,2,3,0,0,6000,44,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,5,22514264.6399317,118313259.073531,-2073.081054688,2,5,0,0,6000,43,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,6,23617006.1827078,122979947.15907,1130.450439453,3,20,0,0,6000,51,3,1,4,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,7,23759466.434323,123721776.826894,836.793273926,3,29,0,0,6000,45,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,8,21957012.5086861,114335924.067882,-612.430419922,3,32,0,0,6000,52,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,9,19835573.0700237,105846418.54388,-1035.028076172,6,2,0,3,6000,51,5,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,10,21052789.0373003,112381216.985389,2572.17578125,6,18,0,4,6000,50,5,1,4,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,11,22280881.8820668,119062277.08174,-1106.884033203,6,11,0,7,0,26,9,15,10,1
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,12,21764260.9694507,116342447.366489,-2405.467041016,6,1,0,8,0,26,8,15,10,1
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,13,20871603.9613235,111609834.961462,-4270.94140625,6,24,0,9,6000,31,7,6,8,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,14,18962449.5167838,101471895.709668,-875.240966797,6,17,0,11,6000,43,5,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,15,23785260.8586965,124992390.302897,1473.586425781,2,15,0,0,6000,45,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,16,21319109.6653821,114122861.855024,1161.125732422,6,3,0,12,6000,50,5,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,17,22893939.9544108,92184409.3609488,-75.510986328,2,3,6,0,6000,43,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,18,22514271.5738804,90655642.3234761,-1588.377685547,2,5,6,0,6000,44,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,19,23785267.9744067,95773417.63523,1129.034667969,2,15,6,0,6000,50,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,20,21710175.6566064,88899539.9213727,1425.8984375,0,10,3,0,6000,43,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,21,19830132.4492337,81201075.8524675,156.475845337,0,23,3,0,6000,42,4,2,6,15
