rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225172.992000,1.930230,21.396603,23.326833,3.294482,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.956423
225173.992000,1.930230,21.342705,23.272935,3.283335,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.707151
225174.992000,1.930230,21.381510,23.311740,3.287064,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.886620
225175.992000,1.930230,21.404528,23.334758,3.286298,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.993075
225176.992000,1.930230,21.355342,23.285572,3.268728,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.765593
225177.992000,1.930230,21.375302,23.305532,3.277688,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.857906
225178.992000,1.930230,21.374821,23.305051,3.277553,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.855683
225179.992000,1.930230,21.324959,23.255189,3.285957,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.625077
225180.992000,1.930230,21.350918,23.281148,3.292134,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.745134
225181.992000,1.930230,21.163496,23.093726,3.282511,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.878331
225182.992000,1.930230,21.112786,23.043016,3.278627,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.643806
225183.992000,1.930230,21.179601,23.109831,3.295019,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.952818
225184.992000,1.930230,22.468436,24.398666,3.018517,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",103.913503
225185.992000,1.930230,23.142900,25.073130,3.198914,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",107.032812
225186.992000,1.930230,21.195632,23.125862,3.288035,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.026957
225187.992000,1.930230,22.429901,24.360131,3.024610,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",103.735284
225188.992000,1.930230,22.211910,24.142140,3.012963,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",102.727108
225189.992000,1.930230,22.082877,24.013107,3.037945,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",102.130344
225190.992000,1.930230,21.720095,23.650325,3.087346,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.452529
225191.992000,1.930230,21.520871,23.451101,3.148909,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.531143
225192.992000,1.930230,21.541542,23.471772,3.206744,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.626744
225193.992000,1.930230,21.419065,23.349295,3.216875,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.060303
225194.992000,1.930230,21.290584,23.220814,3.254830,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.466097
